region_precision,region_recall,region_f1,region_iou,gt_regions,pred_regions,matched_gt_regions,matched_pred_regions,gt_pixels,pred_pixels,matched_gt_pixels,matched_pred_pixels,gt_coverage,pred_coverage,filename
0.6982758620689655,0.8846153846153846,0.7804775868798928,0.03302935890186481,26,116,23,81,153762,20626,149860,19252,0.9746231188460087,0.9333850479976729,IMG_4993_JPG.rf.ab77786e38be8551a65833a5fdcf80a7.jpg
0.21951219512195122,1.0,0.35999999997048,0.05007960294964403,5,41,5,9,25270,8183,25270,2301,1.0,0.28119271660760115,DSC04131_JPG.rf.ddc4771910fbabfde959748c937d7824.jpg
0.49101796407185627,0.7333333333333333,0.5881969350677068,0.010407592669458284,15,167,11,82,108842,20814,107365,11949,0.9864298708219253,0.5740847506486019,DSC04041_JPG.rf.f7a77445ea1de90b92488396179c3279.jpg
0.11764705882352941,1.0,0.2105263157706371,0.2645252640957108,2,17,2,2,2052,5211,2052,595,1.0,0.11418153905200537,IMG_2508_JPG.rf.e0425583ab898225d34f5ba3d41be214.jpg
0.4,0.75,0.5217391303894141,0.09314808823972826,4,15,3,6,42216,25018,37995,16992,0.9000142126208073,0.6791909824926053,IMG_2148_JPG.rf.e07aa955c63a42222a151acada849995.jpg
0.4444444444444444,0.5405405405405406,0.48780487799925637,0.2049267024721807,37,45,20,20,12502,3449,7218,2023,0.5773476243800992,0.586546825166715,DSC04192_JPG.rf.62edfe2a4361a60b2a2dd39490444861.jpg
0.3826086956521739,0.8,0.5176470587797578,0.0038875948063413894,5,115,4,44,75234,12564,74814,4194,0.9944174176569104,0.333810888252149,DSC04219_JPG.rf.7ce79630fadc829153c6fb39bd9f3790.jpg
0.42857142857142855,0.75,0.5454545454082644,0.06513142745856892,24,84,18,36,44733,6602,39505,4263,0.8831287863545928,0.6457134201757043,DSC04230_JPG.rf.859130df9e75e660fc0c9d5f4e49a237.jpg
0.525,0.7777777777777778,0.6268656715936735,0.03963594501736751,9,40,7,21,22379,20133,15464,1969,0.6910049600071495,0.09779963244424576,IMG_2471_JPG.rf.4770adafda877963a7d2382ce2496749.jpg
0.3958333333333333,0.9479166666666666,0.5584625322581815,0.15233311411837888,96,192,91,76,165936,94774,132828,83567,0.8004772924501012,0.881750269061135,DSC04345_JPG.rf.94166d94a1356594a27281104ab8ead7.jpg
0.5714285714285714,0.6,0.5853658536085663,0.020642066035726464,10,49,6,28,71411,13006,70369,10859,0.9854084104689753,0.8349223435337536,DSC04318_JPG.rf.48437ba6963e0c2c5592f479c4906ef1.jpg
0.58,0.875,0.6975945016702683,0.014906500155009562,8,100,7,58,106064,25421,105856,16710,0.9980389198974204,0.6573305534794068,DSC04040_JPG.rf.3f89a2b05b11fda2b8d3a93719398639.jpg
0.7213114754098361,1.0,0.8380952380465488,0.08204563379568429,19,61,19,44,75300,26006,75300,19490,1.0,0.7494424363608398,IMG_2443_JPG.rf.10297ba9b4c476e4cda656c928a8d980.jpg
1.0,1.0,0.99999999995,0.10680961400826912,6,6,6,6,10226,2532,10226,2532,1.0,1.0,IMG_2541_JPG.rf.f935efe139eb2624c35d47778d4b31ef.jpg
0.2727272727272727,1.0,0.4285714285377551,0.26509633863347687,16,66,16,18,10235,7418,10235,4425,1.0,0.5965219735777838,IMG_4833_JPG.rf.24b6a624797ecb4f794e722416133953.jpg
0.25,0.15384615384615385,0.19047619042902494,0.03807584239642942,13,16,2,4,32922,4205,6226,1574,0.18911366259644008,0.37431629013079665,IMG_2136_JPG.rf.13bc9784cb25edb014c0376130e1dbb0.jpg
0.16216216216216217,1.0,0.27906976741784745,0.08600289964339813,3,37,3,6,14002,7671,14002,5683,1.0,0.7408421327076,IMG_2314_JPG.rf.5d9cb24407f773f55e7ad88f9252ce00.jpg
0.1366120218579235,1.0,0.2403846153634662,0.07986722655110698,7,183,7,25,36207,22022,36207,13816,1.0,0.6273726273726273,IMG_2055_JPG.rf.60ddfecd346ba83201fc0604f47db0d1.jpg
0.8297872340425532,1.0,0.9069767441364791,0.015201583409790725,7,47,7,39,240287,93272,240287,92230,1.0,0.9888283729307831,IMG_4934_JPG.rf.dcf183e085a292ba23f567d6441a0729.jpg
0.045454545454545456,0.5,0.08333333331805556,0.2715273412947832,2,22,1,1,2166,40243,1591,432,0.734533702677747,0.010734786173992993,DSC04184_JPG.rf.e517af78439ae77b210a707543505397.jpg
1.0,1.0,0.99999999995,0.003266074758137235,1,15,1,15,155034,7855,155034,7855,1.0,1.0,DSC04309_JPG.rf.c9d896b0cdc17486d669e4fd5bce31e2.jpg
0.3333333333333333,0.6666666666666666,0.44444444439999997,0.22859621235704192,18,45,12,15,11679,5159,10314,3455,0.8831235550988955,0.6697034308974608,DSC04158_JPG.rf.06bbd2945313c845c1129379a13d7023.jpg
0.6170212765957447,1.0,0.7631578946896468,0.016736215346839126,3,47,3,29,205968,82943,205968,76159,1.0,0.9182088904428343,IMG_4931_JPG.rf.2388f225a3cefdf458dfed333a34945f.jpg
0.627906976744186,1.0,0.7714285713811837,0.005219586316613632,4,43,4,27,63347,3896,63347,3059,1.0,0.785164271047228,IMG_4596_JPG.rf.aebb165d2276a24db44b1216007d395e.jpg
0.1780821917808219,1.0,0.3023255813696863,0.03868762521738414,4,73,4,13,17079,13776,17079,2666,1.0,0.19352497096399535,DSC04024_JPG.rf.9ac025dcd003e00237ef4f0004ad37db.jpg
0.42105263157894735,0.9090909090909091,0.5755395683020547,0.02469564392488546,11,95,10,40,62578,18501,62503,10811,0.9988014957333248,0.5843467920652937,DSC04321_JPG.rf.334b8c0bdd79035c2810f17c1415d3b9.jpg
0.5067567567567568,0.8636363636363636,0.6387270281918491,0.022636061149620662,22,148,19,75,144601,40984,129568,34333,0.8960380633605577,0.837717157915284,DSC04362_JPG.rf.f911d1c2b6e3c1863141e6d593869b06.jpg
0.44871794871794873,1.0,0.6194690265059128,0.01607296551519786,10,78,10,35,215422,71997,215422,67413,1.0,0.9363306804450185,DSC04076_JPG.rf.5608e56fc94f040a6d88d9b3084a23b9.jpg
0.9,1.0,0.9473684210027702,0.08637793189668451,5,10,5,9,15260,14808,15260,5931,1.0,0.4005267423014587,IMG_2146_JPG.rf.da96063a1cefb965ed34cf0ded719fd5.jpg
