accuracy,precision,recall,f1_score,iou,gt_pixels,pred_pixels,filename
0.91919375,0.0,0.0,0.0,0.0,24681,27035,DSC04167.JPG
0.5485125,0.9040447972164837,0.05473378623903942,0.10321839793923218,0.05441765031202856,303816,18394,IMG_2165.JPG
0.7739625,0.2692457025872719,0.057968371216439066,0.09539769884942471,0.05008798886349907,131589,28331,DSC04198.JPG
0.876121875,0.29320124847333423,0.16868354074606123,0.21415827452224248,0.11992007548426487,64043,36845,IMG_2159.JPG
0.71711875,0.23679877465058397,0.08054705307717355,0.12020604529108757,0.06394639422579777,153550,52230,DSC04359.JPG
0.5883359375,0.40078128989429607,0.12662904715615056,0.19245187017437387,0.10647122862113756,247921,78332,IMG_4919.JPG
0.780953125,0.8985620506408253,0.039569137586895176,0.07580032698697325,0.039393171119440316,145290,6398,DSC04365.JPG
0.5984609375,0.28849684915610263,0.08606938138727716,0.13258400418544208,0.07099864437415274,228188,68077,IMG_4931.JPG
0.954625,0.5911764705882353,0.027451515979240646,0.052466718872357085,0.02694008845999196,29288,1360,IMG_2398.JPG
0.8946640625,0.9176470588235294,0.012581383072320958,0.02482243855867845,0.012567193473261759,68196,935,IMG_4925.JPG
0.9803703125,0.776834959694527,0.13203057398327084,0.22570107858243452,0.1272057801861887,13868,2357,IMG_2401.JPG
0.7753703125,0.43960627619140435,0.1639503947196255,0.23882967739885955,0.1356085066469453,137566,51305,IMG_4716.JPG
0.9412578125,0.20609418282548475,0.10224344659360292,0.13667990906377017,0.07335288753050208,29107,14440,IMG_4702.JPG
0.6364,0.4012536873156342,0.023653847825897942,0.04467416025551551,0.022847424888198367,230026,13560,IMG_4879.JPG
0.842775,0.2827547259541077,0.11060856219333536,0.15901379022147932,0.08637424298827824,86006,33644,DSC04211.JPG
0.87253125,0.1063939337202771,0.0948189554480227,0.10027351332274573,0.052783131690778626,47944,42728,IMG_4851.JPG
0.7225546875,0.4313765596236449,0.023935581621014283,0.04535459486776953,0.02320348987529087,176223,9778,IMG_4689.JPG
0.9331609375,0.12097539607213259,0.05115144779897512,0.07190123885357227,0.03729126344691002,32394,13697,DSC04205.JPG
0.836459375,0.004151317924150173,0.58,0.008243632504548211,0.004138875938383079,750,104786,IMG_4662.JPG
0.909725,0.0,0.0,0.0,0.0,0,57776,IMG_4676.JPG
0.930115625,0.0,0.0,0.0,0.0,29955,14771,IMG_4886.JPG
0.7246734375,0.11305371468433903,0.01636385437242441,0.02858954215937595,0.014502074920862184,158459,22936,IMG_4892.JPG
0.8999265625,0.008679363097096472,0.5059144676979072,0.017065946377323164,0.00860641146695974,1099,64060,DSC03998.JPG
0.8496671875,0.4450140845070423,0.1711425754801807,0.2472126376076802,0.14103971931328174,92309,35500,DSC04013.JPG
0.73603125,0.0,0.0,0.0,0.0,167954,986,DSC04007.JPG
0.872446875,0.03225133669561261,0.05267232303214219,0.04000658544616398,0.020411591768164636,32294,52742,IMG_5018.JPG
0.7340234375,0.30748954416054547,0.0549318766873862,0.09321180675782935,0.048884195469733036,159270,28453,IMG_5024.JPG
0.99448125,0.008610086100861008,0.007238883143743537,0.007865168539325843,0.003948110547095319,1934,1626,DSC03967.JPG
0.9816734375,0.0,0.0,0.0,0.0,0,11729,DSC03973.JPG
0.818725,0.9078625281503966,0.07456553033044624,0.13781212841854934,0.07400549134793435,124347,10213,IMG_5030.JPG
0.8719546875,0.04360592864847589,0.0602157062863763,0.050582169958871576,0.025947320876717538,36253,50062,IMG_2039.JPG
0.82326875,0.8527466206499856,0.07383764848464724,0.1359073477058473,0.07290804324483824,120467,10431,IMG_5031.JPG
0.97131875,0.0,0.0,0.0,0.0,0,18356,DSC03972.JPG
0.8736890625,0.15227061736035896,0.17541944252579042,0.16302738520474194,0.08874785823789341,44881,51704,IMG_2038.JPG
0.9495,0.004083800923005412,0.05026563138536984,0.007553890560707486,0.0037912646795918996,2447,30119,DSC03966.JPG
0.763521875,0.3115222065692889,0.05952060519344374,0.0999452875969361,0.052601268239550796,141178,26974,IMG_5025.JPG
