accuracy,precision,recall,f1_score,iou,gt_pixels,pred_pixels,filename
0.9968203125,0.3707093821510298,0.40934933670246365,0.3890723506454518,0.2415206857994782,1583,1748,DSC04167.JPG
0.9598625,0.4670207298269659,0.10773426075959372,0.17508028259473346,0.0959386218061519,25303,5837,IMG_2165.JPG
0.981575,0.05190571715145436,0.025188610367486007,0.03391774537112895,0.01725143761980165,8218,3988,DSC04198.JPG
0.9862265625,0.012822093453334977,0.11403508771929824,0.02305219993350327,0.011660500056060097,912,8111,IMG_2159.JPG
0.9479390625,0.041943223956872645,0.3433673469387755,0.07475493599178029,0.03882878984566566,3920,32091,DSC04359.JPG
0.9485734375,0.3545521835677276,0.029819155227690106,0.05501162824083379,0.028283782586873727,32127,2702,IMG_4919.JPG
0.994740625,0.6680289217227287,0.4791431792559188,0.5580357142857143,0.38699690402476783,4435,3181,DSC04365.JPG
0.9619640625,0.4410585404971933,0.06903188017739101,0.1193792280143255,0.06347862886161659,23902,3741,IMG_4931.JPG
0.999509375,0.0,0.0,0.0,0.0,89,225,IMG_2398.JPG
0.9916546875,0.0,0.0,0.0,0.0,5303,38,IMG_4925.JPG
0.99831875,0.014522821576763486,0.1,0.025362318840579712,0.012844036697247707,140,964,IMG_2401.JPG
0.9858796875,0.5005316321105795,0.20827342108173874,0.29414980863860035,0.17243589743589743,9041,3762,IMG_4716.JPG
0.996534375,0.11950549450549451,0.15675675675675677,0.13561964146531566,0.07274247491638795,1110,1456,IMG_4702.JPG
0.9659828125,0.27645734300725544,0.05529423538831065,0.09215629039656395,0.04830389928309145,19984,3997,IMG_4879.JPG
0.9921515625,0.12601626016260162,0.097392397109645,0.10987063618642566,0.058128633039564975,3183,2460,DSC04211.JPG
0.9876078125,0.07655896274953694,0.09748427672955975,0.08576368876080692,0.04480308322293147,3816,4859,IMG_4851.JPG
0.9784390625,0.42424242424242425,0.014276349333527569,0.02762314142766542,0.01400500178635227,13729,462,IMG_4689.JPG
0.9980328125,0.13883677298311445,0.30265848670756645,0.19035369774919614,0.10518834399431415,489,1066,DSC04205.JPG
0.99740625,0.0,0.0,0.0,0.0,2,1658,IMG_4662.JPG
0.998275,0.0,0.0,0.0,0.0,0,1104,IMG_4676.JPG
0.995553125,0.0,0.0,0.0,0.0,1926,920,IMG_4886.JPG
0.982828125,0.4647055165122209,0.7581938102486048,0.576231973471119,0.404723215252952,9855,16079,IMG_4892.JPG
0.9851859375,0.0,0.0,0.0,0.0,0,9481,DSC03998.JPG
0.988978125,0.027726432532347505,0.0022925263640531865,0.004234895539243365,0.002121940868581129,6543,541,DSC04013.JPG
0.987590625,0.32764505119453924,0.03770126979971201,0.06762150739610237,0.03499392466585662,7639,879,DSC04007.JPG
0.9802484375,0.09223730814639905,0.7866582756450597,0.16511458952513045,0.08998632207904399,1589,13552,IMG_5018.JPG
0.9780015625,0.20664172123479888,0.28295119764314075,0.23884954316916257,0.1356213163064833,7807,10690,IMG_5024.JPG
0.9995609375,0.0,0.0,0.0,0.0,1,280,DSC03967.JPG
0.9952421875,0.0,0.0,0.0,0.0,0,3045,DSC03973.JPG
0.993059375,0.674279379157428,0.5056534752244762,0.5779171417711897,0.406387812374716,6014,4510,IMG_5030.JPG
0.981865625,0.03997085458519829,0.13877846042645464,0.06206562146436076,0.03202668890742285,2767,9607,IMG_2039.JPG
0.993440625,0.6892593604810058,0.4517284614006806,0.5457693140012985,0.37529761904761905,5583,3659,IMG_5031.JPG
0.9968484375,0.0,0.0,0.0,0.0,0,2017,DSC03972.JPG
0.9801234375,0.08828737667594232,0.35419485791610283,0.1413432332095849,0.0760459035444509,2956,11859,IMG_2038.JPG
0.9902296875,0.0,0.0,0.0,0.0,41,6212,DSC03966.JPG
0.97885,0.1970433373835561,0.2576800847457627,0.2233187973376176,0.12569435473453042,7552,9876,IMG_5025.JPG
0.9756859375,0.0279648907940396,0.24377224199288255,0.050173960813037904,0.02573253193087904,1686,14697,IMG_2004.JPG
0.986071875,0.0026078710289236607,0.0421455938697318,0.004911810672025006,0.0024619516562220233,522,8436,IMG_5019.JPG
0.9879078125,0.272875816993464,0.0223830585712371,0.04137247615508485,0.02112319757146471,7461,612,DSC04006.JPG
0.9903625,0.38415841584158417,0.03206081639398446,0.059182428309945086,0.030493555485696322,6051,505,DSC04012.JPG
0.9985546875,0.0,0.0,0.0,0.0,0,925,DSC03999.JPG
0.98355,0.49959654894171684,0.7654778887303851,0.6045970104409224,0.4332777089949938,10515,16111,IMG_4893.JPG
0.99099375,0.0,0.0,0.0,0.0,1568,4196,IMG_4887.JPG
0.99863125,0.0,0.0,0.0,0.0,0,876,IMG_4677.JPG
0.9133953125,0.8318478906714201,0.024759479343520092,0.04808765692891614,0.02463617646541257,56544,1683,IMG_2560.JPG
0.9841328125,0.34902531747957616,0.6719090625973217,0.4594091030077189,0.2982031789910159,6422,12363,IMG_4688.JPG
0.9870109375,0.03500733137829912,0.05896881753627663,0.04393329499712478,0.022460018814675447,3239,5456,IMG_4850.JPG
0.996690625,0.11904761904761904,0.38273615635179153,0.18160741885625967,0.09987250318742032,614,1974,DSC04204.JPG
0.9860671875,0.37595589542948604,0.2810422759904281,0.32164321034613924,0.1916417369232164,7522,5623,DSC04210.JPG
0.988959375,0.004207060545088714,0.01398176291793313,0.0064679415073115865,0.0032444632529270703,1645,5467,IMG_4844.JPG
0.9957828125,0.25872093023255816,0.31356429829712273,0.2835147332094505,0.16517166718218373,1703,2064,IMG_4878.JPG
