region_precision,region_recall,region_f1,region_iou,gt_regions,pred_regions,matched_gt_regions,matched_pred_regions,gt_pixels,pred_pixels,matched_gt_pixels,matched_pred_pixels,gt_coverage,pred_coverage,filename
0.1111111111111111,0.07142857142857142,0.08695652169149339,0.8651535380507344,14,9,1,1,1583,1748,678,719,0.42830069488313327,0.41132723112128144,DSC04167.JPG
0.75,0.16666666666666666,0.2727272726975207,0.42949424925161495,162,20,27,15,25303,5837,3629,5444,0.14342172864877684,0.9326708925818057,IMG_2165.JPG
0.8333333333333334,0.018779342723004695,0.03673094581754434,0.05476163255973476,213,6,4,5,32127,2702,16863,1589,0.5248856102343823,0.5880829015544041,IMG_4919.JPG
0.6060606060606061,0.19318181818181818,0.29297716497842285,0.6104567652973284,88,33,17,20,4435,3181,2900,2706,0.6538895152198422,0.8506758880855076,DSC04365.JPG
0.5454545454545454,0.03614457831325301,0.06779661015783459,0.18143831097426874,249,11,9,6,23902,3741,8365,2379,0.34997071374780353,0.6359262229350441,IMG_4931.JPG
0.3902439024390244,0.10144927536231885,0.16103522642303605,0.3093986197831088,69,41,7,16,9041,3762,5517,2452,0.610220108395089,0.6517809675704412,IMG_4716.JPG
0.17647058823529413,0.13636363636363635,0.15384615379697564,0.5858585858585859,22,17,3,3,1110,1456,207,264,0.1864864864864865,0.1813186813186813,IMG_4702.JPG
0.1875,0.11023622047244094,0.13884297515997865,0.22518850621561035,127,32,14,6,19984,3997,2962,3050,0.1482185748598879,0.7630723042281712,IMG_4879.JPG
0.15217391304347827,0.12121212121212122,0.1349397589867859,0.13765541740674955,66,46,8,7,3183,2460,1562,1000,0.490732013823437,0.4065040650406504,DSC04211.JPG
0.25,0.012658227848101266,0.024096385532994626,0.1615828524319868,79,4,1,1,13729,462,1137,272,0.08281739383786146,0.5887445887445888,IMG_4689.JPG
0.3,0.22580645161290322,0.2576687116074372,0.4065934065934066,31,20,7,6,489,1066,173,339,0.3537832310838446,0.31801125703564725,DSC04205.JPG
0.5333333333333333,0.6407766990291263,0.582138919465303,0.4744126984126984,103,60,66,32,9855,16079,9192,14030,0.932724505327245,0.8725667019093227,IMG_4892.JPG
0.5,0.04032258064516129,0.07462686565783025,0.2865671641791045,124,14,5,7,7639,879,786,507,0.10289304882838068,0.5767918088737202,DSC04007.JPG
0.07207207207207207,0.4166666666666667,0.12288786479820481,0.6127450980392157,12,111,5,8,1589,13552,1419,1871,0.8930144745122719,0.13806080283353012,IMG_5018.JPG
0.2830188679245283,0.19767441860465115,0.2327704244152913,0.2593636256897969,172,53,34,15,7807,10690,4267,6459,0.5465607787882669,0.6042095416276895,IMG_5024.JPG
0.6764705882352942,0.2976190476190476,0.4133716750114813,0.6887882219705549,84,34,25,23,6014,4510,3520,3936,0.5853009644163618,0.8727272727272727,IMG_5030.JPG
0.5294117647058824,0.2727272727272727,0.35999999995512,0.7395894428152493,66,34,18,18,5583,3659,2720,3212,0.48719326526956835,0.8778354741732713,IMG_5031.JPG
0.15555555555555556,0.11851851851851852,0.1345345344854476,0.2968726163234172,135,45,16,7,7552,9876,2414,6087,0.3196504237288136,0.6163426488456865,IMG_5025.JPG
0.3333333333333333,0.04411764705882353,0.07792207790143363,0.44297082228116713,136,12,6,4,7461,612,286,258,0.038332663181879105,0.4215686274509804,DSC04006.JPG
0.4444444444444444,0.0297029702970297,0.05568445474463638,0.14275202354672553,101,9,3,4,6051,505,1326,227,0.21913733267228558,0.4495049504950495,DSC04012.JPG
0.5806451612903226,0.5272727272727272,0.5526733721046951,0.5013079222720478,110,62,58,36,10515,16111,9862,14243,0.9378982406086543,0.8840543727887779,IMG_4893.JPG
0.8,0.026845637583892617,0.051948051941769276,0.11081209434858319,149,5,4,4,56544,1683,12363,1671,0.21864388794567063,0.9928698752228164,IMG_2560.JPG
0.1875,0.34782608695652173,0.24365482228951016,0.40432908545727136,46,48,16,9,6422,12363,4478,10509,0.6972905636873248,0.850036398932298,IMG_4688.JPG
0.2727272727272727,0.42857142857142855,0.3333333332858024,0.1520051746442432,35,22,15,6,614,1974,254,1527,0.41368078175895767,0.7735562310030395,DSC04204.JPG
0.49019607843137253,0.25274725274725274,0.3335266820896781,0.2765567765567766,91,51,23,25,7522,5623,5335,4423,0.7092528582823717,0.7865907878356749,DSC04210.JPG
0.10869565217391304,0.2631578947368421,0.15384615380478106,0.5149469623915139,19,46,5,5,1703,2064,730,841,0.4286553141514974,0.4074612403100775,IMG_4878.JPG
0.25,0.25,0.24999999995,0.4793388429752066,20,16,5,4,1219,944,339,377,0.2780968006562756,0.399364406779661,IMG_4703.JPG
0.5,0.13541666666666666,0.21311475406482128,0.3876651982378855,96,40,13,20,8156,4380,4752,3123,0.5826385483079941,0.713013698630137,IMG_4717.JPG
0.19047619047619047,0.125,0.1509433961785689,0.5864553314121037,72,42,9,8,2259,1778,537,564,0.23771580345285526,0.3172103487064117,DSC04370.JPG
0.36363636363636365,0.35406698564593303,0.3587878787378877,0.28830409356725145,209,99,74,36,4676,19157,3154,7861,0.674508126603935,0.4103460875920029,DSC04364.JPG
0.25,0.027522935779816515,0.0495867768416365,0.21139630390143738,218,8,6,2,20645,6156,9158,2641,0.44359409057883264,0.42901234567901236,IMG_4918.JPG
0.1590909090909091,0.8214285714285714,0.26655629136354325,0.4942121878886444,28,44,23,7,6718,15259,5183,10436,0.7715093777910093,0.6839242414312865,IMG_2164.JPG
0.13793103448275862,0.7647058823529411,0.2337078651426476,0.34639409426462237,17,29,13,4,641,3670,633,1738,0.9875195007800313,0.47356948228882834,DSC04158.JPG
0.2222222222222222,0.05555555555555555,0.08888888885688888,0.19772481040086673,36,9,2,2,1885,901,1729,482,0.9172413793103448,0.5349611542730299,DSC04170.JPG
0.5714285714285714,0.14545454545454545,0.2318840579386683,0.26593536910761933,55,14,8,8,5055,1516,2979,1291,0.5893175074183976,0.8515831134564644,IMG_4926.JPG
0.7619047619047619,0.09056603773584905,0.16188870149871604,0.2817391304347826,265,21,24,16,30879,8964,18883,8386,0.611515916966223,0.9355198572066042,IMG_4932.JPG
0.3,0.5666666666666667,0.39230769226242596,0.3058879846816659,30,20,17,6,2152,2819,653,2075,0.3034386617100372,0.7360766229159277,IMG_2416.JPG
0.3333333333333333,0.19047619047619047,0.24242424237796145,0.5868945868945868,21,12,4,4,1128,464,272,285,0.24113475177304963,0.6142241379310345,IMG_4701.JPG
0.5652173913043478,0.1917808219178082,0.2863886703004841,0.215412004069176,73,23,14,13,11532,7173,7858,6479,0.6814082552896289,0.903248292206887,IMG_4715.JPG
