region_precision,region_recall,region_f1,region_iou,pixel_accuracy,region_accuracy,gt_regions,pred_regions,matched_gt_regions,matched_pred_regions,gt_pixels,pred_pixels,matched_gt_pixels,matched_pred_pixels,gt_coverage,pred_coverage,filename
0.6666666666666666,0.9230769230769231,0.7741935483383975,0.03253872216264582,0.78135,0.7096774193548387,26,129,24,86,153762,22963,153264,19678,0.9967612283919304,0.8569437791229368,IMG_4993_JPG.rf.ab77786e38be8551a65833a5fdcf80a7.jpg
0.21052631578947367,0.8,0.3333333333003472,0.03413156151507084,0.940225,0.27906976744186046,5,38,4,8,25270,14120,15510,567,0.6137712702809656,0.04015580736543909,DSC04131_JPG.rf.ddc4771910fbabfde959748c937d7824.jpg
0.49101796407185627,0.7333333333333333,0.5881969350677068,0.010407592669458284,0.819046875,0.510989010989011,15,167,11,82,108842,20814,107365,11949,0.9864298708219253,0.5740847506486019,DSC04041_JPG.rf.f7a77445ea1de90b92488396179c3279.jpg
0.0625,1.0,0.11764705881245674,0.2645252640957108,0.9681203125,0.11764705882352941,2,32,2,2,2052,19505,2052,595,1.0,0.030504998718277363,IMG_2508_JPG.rf.e0425583ab898225d34f5ba3d41be214.jpg
0.38095238095238093,0.75,0.5052631578500609,0.05700210621698952,0.9198125,0.44,4,21,3,8,42216,27536,37995,25135,0.9000142126208073,0.9128050552004648,IMG_2148_JPG.rf.e07aa955c63a42222a151acada849995.jpg
0.35714285714285715,0.6216216216216216,0.4536489151410276,0.20083355114081217,0.9729421875,0.4485981308411215,37,70,23,25,12502,9551,9209,2532,0.7366021436570149,0.26510313056224477,DSC04192_JPG.rf.62edfe2a4361a60b2a2dd39490444861.jpg
0.3357142857142857,1.0,0.5026737967538105,0.004638682053666867,0.8610546875,0.3586206896551724,5,140,5,47,75234,22353,75234,5361,1.0,0.2398335793853174,DSC04219_JPG.rf.7ce79630fadc829153c6fb39bd9f3790.jpg
0.3611111111111111,0.9583333333333334,0.5245614034690157,0.0704107738887542,0.927540625,0.4696969696969697,24,108,23,39,44733,12594,43710,6641,0.9771309771309772,0.5273145942512307,DSC04230_JPG.rf.859130df9e75e660fc0c9d5f4e49a237.jpg
0.48214285714285715,1.0,0.6506024095946581,0.046982097069516164,0.9312171875,0.5538461538461539,9,56,9,27,22379,32428,22379,17564,1.0,0.5416306895275688,IMG_2471_JPG.rf.4770adafda877963a7d2382ce2496749.jpg
0.3778801843317972,1.0,0.5484949832377848,0.15313567074207968,0.767028125,0.5686900958466453,96,217,96,82,165936,104023,165936,91841,1.0,0.8828912836584217,DSC04345_JPG.rf.94166d94a1356594a27281104ab8ead7.jpg
0.3611111111111111,0.6,0.45086705197621035,0.033097906713192946,0.8825390625,0.41304347826086957,10,36,6,13,71411,5714,70369,1000,0.9854084104689753,0.17500875043752187,DSC04318_JPG.rf.48437ba6963e0c2c5592f479c4906ef1.jpg
0.5514018691588785,0.875,0.6764946764472498,0.014803803546266314,0.8340921875,0.5739130434782609,8,107,7,59,106064,28007,105856,17786,0.9980389198974204,0.6350555218338273,DSC04040_JPG.rf.3f89a2b05b11fda2b8d3a93719398639.jpg
0.671875,1.0,0.8037383177089352,0.08386333421357893,0.8859859375,0.7469879518072289,19,64,19,43,75300,28760,75300,19520,1.0,0.6787204450625869,IMG_2443_JPG.rf.10297ba9b4c476e4cda656c928a8d980.jpg
1.0,1.0,0.99999999995,0.10680961400826912,0.9865375,1.0,6,6,6,6,10226,2532,10226,2532,1.0,1.0,IMG_2541_JPG.rf.f935efe139eb2624c35d47778d4b31ef.jpg
0.2727272727272727,1.0,0.4285714285377551,0.26509633863347687,0.9846390625,0.4146341463414634,16,66,16,18,10235,7418,10235,4425,1.0,0.5965219735777838,IMG_4833_JPG.rf.24b6a624797ecb4f794e722416133953.jpg
0.43243243243243246,0.6923076923076923,0.5323475045737414,0.0850895372572532,0.94145625,0.5,13,37,9,16,32922,10704,21232,3555,0.6449182917198226,0.33211883408071746,IMG_2136_JPG.rf.13bc9784cb25edb014c0376130e1dbb0.jpg
0.15,1.0,0.260869565194707,0.08600289964339813,0.9822578125,0.20930232558139536,3,40,3,6,14002,7875,14002,5683,1.0,0.7216507936507937,IMG_2314_JPG.rf.5d9cb24407f773f55e7ad88f9252ce00.jpg
0.13513513513513514,1.0,0.23809523807426305,0.07986722655110698,0.9327359375,0.16666666666666666,7,185,7,25,36207,22334,36207,13816,1.0,0.6186083997492612,IMG_2055_JPG.rf.60ddfecd346ba83201fc0604f47db0d1.jpg
0.6071428571428571,1.0,0.7555555555085431,0.019477333515355348,0.63196875,0.6507936507936508,7,56,7,34,240287,66365,240287,53633,1.0,0.8081518872899872,IMG_4934_JPG.rf.dcf183e085a292ba23f567d6441a0729.jpg
1.0,1.0,0.99999999995,0.0010734357692954535,0.759175,1.0,1,7,1,7,155034,1424,155034,1424,1.0,1.0,DSC04309_JPG.rf.c9d896b0cdc17486d669e4fd5bce31e2.jpg
0.32608695652173914,0.6666666666666666,0.43795620433544674,0.22859621235704192,0.9838,0.421875,18,46,12,15,11679,5229,10314,3455,0.8831235550988955,0.6607381908586728,DSC04158_JPG.rf.06bbd2945313c845c1129379a13d7023.jpg
0.3,0.6666666666666666,0.4137931034054697,0.007850708920833605,0.68036875,0.3333333333333333,3,30,2,9,205968,11326,152568,6702,0.7407364250757399,0.5917358290658662,IMG_4931_JPG.rf.2388f225a3cefdf458dfed333a34945f.jpg
0.4909090909090909,1.0,0.6585365853216835,0.005219586316613632,0.902278125,0.5254237288135594,4,55,4,27,63347,4645,63347,3059,1.0,0.6585575888051668,IMG_4596_JPG.rf.aebb165d2276a24db44b1216007d395e.jpg
0.18571428571428572,1.0,0.31325301202177386,0.03868762521738414,0.960571875,0.22972972972972974,4,70,4,13,17079,12403,17079,2666,1.0,0.21494799645247117,DSC04024_JPG.rf.9ac025dcd003e00237ef4f0004ad37db.jpg
0.2808988764044944,0.8181818181818182,0.4182156133448482,0.03037603833698468,0.885415625,0.34,11,89,9,25,62578,18966,61021,7035,0.975119051423823,0.37092692186017084,DSC04321_JPG.rf.334b8c0bdd79035c2810f17c1415d3b9.jpg
0.4796747967479675,0.8181818181818182,0.6047835990422397,0.023999016922269124,0.777825,0.5310344827586206,22,123,18,59,144601,31777,117478,25806,0.8124286830658156,0.8120967995720175,DSC04362_JPG.rf.f911d1c2b6e3c1863141e6d593869b06.jpg
0.4492753623188406,0.8,0.5754060324365394,0.021571971042464926,0.7343296875,0.4936708860759494,10,69,8,31,215422,28384,214036,21412,0.993566116738309,0.7543686583990981,DSC04076_JPG.rf.5608e56fc94f040a6d88d9b3084a23b9.jpg
0.55,1.0,0.7096774193090531,0.09333058200080914,0.9577421875,0.64,5,20,5,11,15260,19125,15260,6017,1.0,0.3146143790849673,IMG_2146_JPG.rf.da96063a1cefb965ed34cf0ded719fd5.jpg
0.0,0.0,0.0,0.0,0.9432046875,0.0,5,7,0,0,35750,647,0,0,0.0,0.0,DSC04338_JPG.rf.39faaaf5f840dc026d3474fb54efba58.jpg
0.8392857142857143,1.0,0.9126213591736827,0.01770891320706255,0.685040625,0.8656716417910447,11,56,11,47,218768,26731,218768,25365,1.0,0.9488982828925218,IMG_4756_JPG.rf.1da3926f0d0618eea8b29e296e1966bb.jpg
0.8347826086956521,1.0,0.9099526065854764,0.05677377026356018,0.776565625,0.8789808917197452,42,115,42,96,172247,31034,172247,28912,1.0,0.9316233808081459,IMG_2394_JPG.rf.b8850145578c950114d8bef195a4ba74.jpg
0.5074626865671642,1.0,0.6732673266880109,0.03275088750774697,0.8531078125,0.5822784810126582,24,134,24,68,89285,25879,89285,16593,1.0,0.641176243286062,DSC04327_JPG.rf.02a40032e6c1b9a575c03a4a55403dbb.jpg
0.3333333333333333,1.0,0.4999999999625,0.07216062528395925,0.9077375,0.4666666666666667,6,24,6,8,27733,47195,27733,44774,1.0,0.9487021930289226,IMG_1703_jpg.rf.55e9ba0f66c82b03ee2971318dc7b3b9.jpg
0.23809523809523808,1.0,0.3846153845843195,0.055525823558784236,0.84,0.3191489361702128,10,84,10,20,128359,88128,128359,55164,1.0,0.6259531590413944,IMG_1762_jpg.rf.9cd3a29cdcd76af2f35c6297a4a61811.jpg
0.3,1.0,0.4615384615029585,0.15255353649279121,0.963403125,0.4166666666666667,4,20,4,6,13885,17673,13885,8352,1.0,0.4725852996095739,IMG_2145_JPG.rf.067fa8698f2f9931926ad50622aa9b48.jpg
0.31875,1.0,0.4834123222382246,0.07975068877208309,0.8798203125,0.41711229946524064,27,160,27,51,64788,32417,64788,9543,1.0,0.2943825770429096,DSC04211_JPG.rf.967767fe5c8a5713109a655a56b99009.jpg
0.22033898305084745,1.0,0.36111111108152005,0.020825874277324873,0.9197875,0.2459016393442623,2,59,2,13,31436,28044,31436,19634,1.0,0.7001141064042219,IMG_4709_JPG.rf.637e956c778a630c108a37c2234c31bc.jpg
0.5689655172413793,0.7894736842105263,0.6613226452418987,0.023165415153572642,0.7435796875,0.6,19,116,15,66,192480,43230,166412,39457,0.8645677472984206,0.9127226463104325,IMG_5025_JPG.rf.d01c200c03edec8630d726e35f71c691.jpg
0.36363636363636365,1.0,0.5333333332942222,0.050194714381244225,0.861221875,0.4262295081967213,6,55,6,20,86462,35844,86462,23227,1.0,0.648002455083138,IMG_2114_JPG.rf.06dfd5d9b730c2ed8628d2c6769c34fe.jpg
0.4583333333333333,0.5833333333333334,0.5133333332840533,0.030765246111615952,0.8006546875,0.48333333333333334,12,48,7,22,124786,17325,73270,11123,0.5871652268683987,0.642020202020202,IMG_2165_JPG.rf.dc63319cd94573929d66fcddc33bcab9.jpg
0.2604166666666667,0.9230769230769231,0.40622884221347505,0.08273356843203167,0.8960265625,0.3394495412844037,13,96,12,25,41142,45028,39910,16956,0.9700549316999659,0.3765656924580261,IMG_2390_JPG.rf.e71e5a496373869e0bd827ab5b3724ba.jpg
0.25,0.5,0.33333333328888887,0.032011234683932056,0.9744453125,0.2777777777777778,4,32,2,8,15816,3562,12816,1480,0.8103186646433991,0.41549691184727683,IMG_4606_JPG.rf.a7fa290bed48312e54d03e0a35468d8a.jpg
0.4444444444444444,1.0,0.6153846153420118,0.031093500727269546,0.8539265625,0.5161290322580645,4,27,4,12,102541,15757,102541,11773,1.0,0.7471599923843372,IMG_2119_JPG.rf.73eb86d68e8911735b40e25cde406ad2.jpg
0.7070707070707071,0.9696969696969697,0.8178167213824059,0.05123428438815834,0.8166234375,0.7727272727272727,33,99,32,70,128998,21266,127854,19663,0.9911316454518675,0.924621461487821,DSC04323_JPG.rf.8bb1530d2ce6a64d63af4b8e5d0d3183.jpg
0.4888888888888889,0.8888888888888888,0.6308243727140709,0.023939375664335915,0.8183015625,0.5252525252525253,9,90,8,44,104967,48706,103851,44152,0.9893680871130927,0.9065002258448651,IMG_4713_JPG.rf.1324ce97f548311181a530b47d0d7f54.jpg
0.41025641025641024,0.4444444444444444,0.4266666666167466,0.13918574479256487,0.8694296875,0.42276422764227645,45,78,20,32,42264,55174,21554,32611,0.5099848570887753,0.5910573821002646,DSC04441_JPG.rf.11b244119718fde55b1c4ab7bdf40d81.jpg
0.5382059800664452,0.8,0.6434955312329463,0.01892155672978532,0.73499375,0.5689149560117303,40,301,32,162,164038,56119,161470,47285,0.9843450907716504,0.8425845079206685,DSC04397_JPG.rf.804d11da546b356933056422d013c7c0.jpg
0.488135593220339,0.9302325581395349,0.6402845708752668,0.03345008903203878,0.7873234375,0.5443786982248521,43,295,40,144,122981,54151,121879,40956,0.9910392662281166,0.7563295230004986,DSC04399_JPG.rf.0d0e5c42999f9cc09d1192124955ebee.jpg
0.6704545454545454,1.0,0.80272108838732,0.012122522034836911,0.866640625,0.7289719626168224,19,88,19,59,85760,4600,85760,3162,1.0,0.6873913043478261,DSC04368_JPG.rf.5952ddb83c9fdf19b96759fb9429ac6e.jpg
0.6615384615384615,0.7222222222222222,0.6905497220007447,0.040497417585083115,0.7908578125,0.6746987951807228,36,130,26,86,156817,21690,155665,19273,0.9926538576812463,0.8885661595205163,IMG_4991_JPG.rf.3a791a582bae0bbc903b0902f393b2a2.jpg
0.5,0.9,0.6428571428112245,0.020776218313424966,0.81553125,0.5454545454545454,10,78,9,39,106854,46574,105738,38899,0.9895558425515188,0.8352084854210504,IMG_4714_JPG.rf.2464917297d978cc1e737374ffd9e57f.jpg
0.7058823529411765,0.7142857142857143,0.710059171547635,0.009867762691676446,0.6068265625,0.7066666666666667,7,68,5,48,262839,39000,250252,35869,0.9521113685564166,0.9197179487179488,DSC04310_JPG.rf.8fd4c5666cc18204739f32f00eba4b3b.jpg
0.8333333333333334,1.0,0.9090909090413223,0.0013086069454691647,0.640865625,0.8461538461538461,1,12,1,10,232664,3272,232664,3213,1.0,0.9819682151589242,IMG_4974_JPG.rf.39c816c26265036bb12c434de9902d25.jpg
0.686046511627907,0.8333333333333334,0.7525510203586331,0.01880325978101458,0.854871875,0.7040816326530612,12,86,10,59,104701,13289,103784,11771,0.9912417264400532,0.8857701858680112,DSC04011_JPG.rf.a719c404743d0503847d4a1466d4e91e.jpg
0.18181818181818182,1.0,0.3076923076662722,0.009698060402750121,0.7857734375,0.21052631578947367,2,55,2,10,65521,80294,65521,5587,1.0,0.06958178693302115,DSC04298_JPG.rf.526e7a016c17dbd4a45a7c85acb1e258.jpg
0.19444444444444445,1.0,0.32558139532157926,0.009253348956329803,0.78573125,0.23684210526315788,2,36,2,7,88834,55756,88834,4107,1.0,0.07366023387617476,DSC04299_JPG.rf.c90f88ce61e0a227eb07cbd298e21106.jpg
0.7211538461538461,1.0,0.8379888267669547,0.02701614854003076,0.65953125,0.7478260869565218,22,208,22,150,231341,59705,231341,55507,1.0,0.9296876308516875,IMG_5056_JPG.rf.7c2bfeb8c2e32a72eaab086a371064e0.jpg
0.4117647058823529,0.625,0.49645390066133493,0.05273778224894605,0.967225,0.4523809523809524,8,34,5,14,18079,6745,11600,5241,0.641628408650921,0.7770200148257969,DSC04003_JPG.rf.af2eb3c1c67284afd53f8016a4c06025.jpg
0.32727272727272727,1.0,0.4931506848943517,0.028889709517989744,0.9028359375,0.37815126050420167,9,110,9,36,51399,28315,51399,16626,1.0,0.5871799399611514,DSC04038_JPG.rf.eb8530722b8f8de57a817d21940d0fae.jpg
0.14864864864864866,1.0,0.25882352938923187,0.02706818534445318,0.9362484375,0.17105263157894737,2,74,2,11,20902,26459,20902,4111,1.0,0.155372463056049,IMG_4704_JPG.rf.a77b12dcc883fa952f09cb3ad40f5d15.jpg
0.4732142857142857,0.875,0.6142384105504671,0.010070415006117706,0.71574375,0.5,8,112,7,53,188775,28045,169455,24211,0.8976559396106476,0.8632911392405064,IMG_5020_JPG.rf.7d5566c9d2b4eeecc6ae41bf2a09af48.jpg
0.3799126637554585,1.0,0.5506329113525016,0.08651885929042498,0.8665609375,0.4681647940074906,38,229,38,87,73321,54210,73321,42025,1.0,0.7752259730676997,IMG_5012_JPG.rf.d0de89b9ea9ecff89caf79d73a1d647d.jpg
0.34615384615384615,0.6875,0.46046511623452235,0.09375340315463128,0.726015625,0.4264705882352941,16,52,11,18,171838,4994,168598,883,0.9811450319486958,0.17681217460953144,IMG_5036_JPG.rf.5f4d679d95ae246f77e157e4236b9865.jpg
0.34146341463414637,1.0,0.5090909090529587,0.021103380172497445,0.911096875,0.38636363636363635,3,41,3,14,51807,13793,51807,5156,1.0,0.373812803596027,IMG_2027_JPG.rf.321c41f4f6f3c6250ac2dc5b37c50aee.jpg
0.673469387755102,1.0,0.8048780487323913,0.06825871896197247,0.690171875,0.7575757575757576,17,49,17,33,209461,16431,209461,15315,1.0,0.9320796056235165,IMG_4819_JPG.rf.d612ab0655dbffc1088b8780f1a6f495.jpg
0.5,0.7307692307692307,0.5937499999517577,0.07698689987638142,0.936265625,0.5545454545454546,26,84,19,42,40087,15850,39733,8965,0.9911692069748298,0.565615141955836,DSC04216_JPG.rf.2df278714e00c6aff0bd765d5fcb3739.jpg
0.42592592592592593,1.0,0.5974025973607016,0.03346326256060336,0.85264375,0.48333333333333334,12,108,12,46,89694,35917,89694,16959,1.0,0.4721719520004455,DSC04208_JPG.rf.d4bf816afae65a9141db645a0ea7c60d.jpg
0.3142857142857143,0.9230769230769231,0.46891651861219236,0.07896431251458363,0.9011671875,0.40963855421686746,26,140,24,44,43739,34078,41721,9529,0.9538626854752051,0.27962321732496037,DSC04213_JPG.rf.5b41d3987f7409ca4b4b3da9bc878f93.jpg
0.2777777777777778,1.0,0.43478260866162577,0.054604762542122924,0.9522984375,0.36585365853658536,5,36,5,10,20817,21162,20817,9110,1.0,0.43048861166241376,IMG_2143_JPG.rf.2e4f56955d58af1c8e4220db05ad16b1.jpg
0.5446428571428571,0.9393939393939394,0.6895168641285605,0.056976182360847456,0.7784984375,0.6344827586206897,33,112,31,61,109379,83307,108676,76156,0.9935728064802202,0.9141608748364484,DSC04080_JPG.rf.e9081627537d7feff052e59025c21d7b.jpg
0.6904761904761905,1.0,0.8169014084023805,0.041459533697978404,0.7018875,0.75,10,42,10,29,203222,7106,203222,6814,1.0,0.9589079650999156,IMG_4982_JPG.rf.47f4422b8bbbd76bd1f28861553b101f.jpg
0.4367816091954023,0.9444444444444444,0.5973185390228664,0.22410112415827182,0.8603828125,0.5570175438596491,54,174,51,76,69990,48679,63303,33583,0.9044577796828118,0.6898868095071797,DSC04353_JPG.rf.a1fd2b5667a796e26bcef54f13a0ffa3.jpg
0.35384615384615387,0.4230769230769231,0.3853769991887824,0.07173989238884464,0.8613890625,0.37362637362637363,26,65,11,23,74662,15745,73296,1714,0.9817042136562106,0.10885995554144173,DSC04375_JPG.rf.3b7f1ca7d6113e235cee348109400f19.jpg
0.4290657439446367,1.0,0.6004842614591913,0.026148282102268685,0.7505875,0.4694533762057878,22,289,22,124,151739,54926,151739,42748,1.0,0.7782835087208244,DSC04398_JPG.rf.590cbcdbf2df6ccd29109f441e04d4e1.jpg
0.5041322314049587,0.9487179487179487,0.6584014001880543,0.06410666476382734,0.80081875,0.6125,39,121,37,61,96690,78726,95844,73659,0.9912503878374186,0.9356375276274674,DSC04079_JPG.rf.c059af5ffae5aa912482e4bed48fb28a.jpg
0.20930232558139536,1.0,0.34615384612522193,0.08428856927508019,0.8869296875,0.2916666666666667,5,43,5,9,59601,44730,59601,43312,1.0,0.9682986809747373,IMG_2048_JPG.rf.65590e51e702f847dce783b41d6e43aa.jpg
0.3333333333333333,0.9923076923076923,0.4990328819739608,0.19022981683763251,0.856378125,0.5787965616045845,130,219,129,73,75894,106773,75824,95038,0.9990776609481645,0.890093937605949,DSC04346_JPG.rf.e3342a2084576fe1ae0ee75dea0c6405.jpg
0.3,1.0,0.4615384615029585,0.004463229857302911,0.8375359375,0.4166666666666667,2,10,2,3,104384,905,104384,656,1.0,0.7248618784530386,IMG_4926_JPG.rf.e7f317b697f5dde456c6322241522c73.jpg
0.2571428571428571,1.0,0.40909090905836776,0.17296145858438922,0.965990625,0.37349397590361444,13,70,13,18,22980,7502,22980,4498,1.0,0.5995734470807784,IMG_4835_JPG.rf.330eee7fdb32cc15bc8e0abc05ae9a84.jpg
0.2413793103448276,1.0,0.38888888885756173,0.031818519450254504,0.91058125,0.3125,3,29,3,7,49785,10789,49785,2599,1.0,0.24089350264157938,DSC04284_JPG.rf.94fab104046990dc5674daf2ac2bc316.jpg
0.20833333333333334,0.9411764705882353,0.34115138589782734,0.17922598011385546,0.9705984375,0.3185840707964602,17,96,16,20,12200,12061,12040,3178,0.9868852459016394,0.2634939059779454,IMG_2286_JPG.rf.4f049233414fefe7f04fae86a0b5a99c.jpg
0.39285714285714285,0.6,0.47482014383706844,0.030677578003365277,0.9625578125,0.42424242424242425,5,28,3,11,24998,4079,24416,2755,0.9767181374509961,0.6754106398627114,IMG_4605_JPG.rf.38d262bb04d4b7aa0aff5e1d7ce34c74.jpg
0.2,1.0,0.3333333333055556,0.0037093124661182744,0.896253125,0.2222222222222222,1,35,1,7,48488,20428,48488,1259,1.0,0.061631094576072055,IMG_4842_JPG.rf.6be76cbfd58b16860efa7366ceffab7f.jpg
0.23529411764705882,0.5,0.31999999995648,0.027385297383456415,0.9707875,0.2631578947368421,2,17,1,4,16677,5421,15456,1897,0.9267853930563051,0.3499354362663715,IMG_4771_JPG.rf.987b1e4646720bd48d1ed379b4d5473e.jpg
0.20567375886524822,1.0,0.3411764705599377,0.06267316519782935,0.7844171875,0.2727272727272727,13,141,13,29,113171,125760,113171,99782,1.0,0.7934319338422392,IMG_2041_JPG.rf.02d8cad825ddbddeeba71787dcbefa4e.jpg
0.7017543859649122,1.0,0.8247422679927728,0.08985396520282221,0.808025,0.7733333333333333,18,57,18,40,131418,16724,131418,15251,1.0,0.9119229849318344,IMG_4823_JPG.rf.af2d6e92fc54f7ed9313e6efc3dca996.jpg
0.0967741935483871,0.5,0.16216216213498902,0.16530380031303926,0.9404859375,0.14285714285714285,4,31,2,3,35642,10328,18135,3979,0.5088098310981426,0.38526336173508907,IMG_4683_JPG.rf.ec9d4aa857a11968eb110dcf6d32cebb.jpg
0.3211009174311927,0.9166666666666666,0.4756022235563874,0.06372292353213492,0.924215625,0.42857142857142855,24,109,22,35,44733,12730,43246,6410,0.9667583215970312,0.5035349567949725,DSC04231_JPG.rf.aba15d7b2562c4c378dfd6da77a034a8.jpg
0.32038834951456313,1.0,0.48529411761030494,0.027409565398832682,0.903815625,0.36363636363636365,7,103,7,33,52074,23092,52074,9350,1.0,0.4049021306080028,DSC04322_JPG.rf.0da5b4c1e581570b8ad56fb3ade2e74f.jpg
0.23076923076923078,1.0,0.37499999996953126,0.10750697959221633,0.9480265625,0.3333333333333333,12,78,12,18,22380,18784,22380,6964,1.0,0.3707410562180579,DSC04102_JPG.rf.57fb039a7f93c026d40c6f36a85709fc.jpg
0.463768115942029,1.0,0.6336633662933437,0.08457560532924877,0.959121875,0.5647058823529412,16,69,16,32,30030,7176,30030,5762,1.0,0.8029542920847269,DSC03921_JPG.rf.5fe97e14decc92bf595e6f7cc1005333.jpg
1.0,1.0,0.99999999995,0.001335930409243415,0.696021875,1.0,1,6,1,6,196118,1572,196118,1572,1.0,1.0,DSC04307_JPG.rf.2018571579c845418ed7ae63029f0bf9.jpg
0.532258064516129,1.0,0.6947368420599224,0.01883324429929497,0.7552609375,0.5606060606060606,4,62,4,33,169582,35263,169582,31968,1.0,0.9065592831012677,IMG_4718_JPG.rf.dd9c13c69fdbae4050139be16f2edfff.jpg
