pixel_accuracy,precision,recall,f1_score,iou,gt_pixels,pred_pixels,region_precision,region_recall,region_f1,region_iou,gt_regions,pred_regions,matched_gt_regions,matched_pred_regions,filename
0.8833234375,0.051680052450417964,0.15789473684210525,0.07787204089949246,0.04051345308765708,19969,61010,0.2727272727272727,1.0,0.4285714285377551,0.04447658973692831,1,11.0,1,3,DSC04167.JPG
0.6491828125,0.642021649901108,0.24032081517304515,0.34973079585376377,0.21192348192348193,251235,94042,1.0,1.0,0.99999999995,0.018523217895488046,2,14.0,2,14,IMG_2165.JPG
0.84184375,0.4078868870063238,0.06967146292748543,0.119014047730952,0.0632721619145451,98132,16762,0.25,1.0,0.399999999968,0.023149976675457,1,12.0,1,3,DSC04198.JPG
0.874959375,0.21126425451640862,0.2699632983690577,0.2370337884219358,0.13445169105638297,46047,58841,0.5454545454545454,0.6,0.5714285713786846,0.09937263129101233,5,11.0,3,6,IMG_2159.JPG
0.77039375,0.24228911185432925,0.09621091636470955,0.13773031334350427,0.07395830707569762,121982,48438,0.5882352941176471,1.0,0.7407407406941015,0.04359411927421551,2,17.0,2,10,DSC04359.JPG
0.66255,0.4566129625091889,0.2913954533904103,0.35575787225410765,0.21636586622544432,204636,130592,0.75,0.5,0.599999999952,0.0786325519349184,2,4.0,1,3,IMG_4919.JPG
0.8519171875,1.0,0.0054777270580827955,0.010895770061680079,0.0054777270580827955,95295,522,1.0,0.3333333333333333,0.4999999999625,0.029593514371563014,3,1.0,1,1,DSC04365.JPG
0.689265625,0.4566352978706436,0.24086869642951045,0.3153792661851681,0.18721084209321714,190170,100312,0.7272727272727273,0.5,0.5925925925443073,0.026860607347714314,2,11.0,1,8,IMG_4931.JPG
0.9728125,0.11858974358974358,0.07597535934291581,0.09261576971214018,0.048556430446194225,11688,7488,0.6,0.75,0.6666666666172838,0.06794497703218305,4,5.0,3,3,IMG_2398.JPG
0.9144640625,1.0,0.06850550460276676,0.1282267696472649,0.06850550460276676,58769,4026,1.0,1.0,0.99999999995,0.03425275230138338,1,2.0,1,2,IMG_4925.JPG
0.984,0.9852534562211982,0.09466040910298415,0.1727258038455324,0.09452648333185958,11293,1085,1.0,0.5,0.6666666666222222,0.08739739256397876,2,1.0,1,1,IMG_2401.JPG
0.81363125,0.404029272979006,0.12712143168300988,0.1933943762933308,0.10704847463971552,112483,35391,0.8461538461538461,1.0,0.9166666666170138,0.04700527355294562,4,13.0,4,11,IMG_4716.JPG
0.9519421875,0.14969076149980673,0.06589526524014123,0.09150790134396691,0.047947749644028974,23507,10348,0.125,1.0,0.22222222220246912,0.06589526524014123,1,8.0,1,1,IMG_4702.JPG
0.7280640625,0.5983303085299455,0.13573334211653107,0.22127065519416889,0.12439815862953739,182166,41325,0.9333333333333333,1.0,0.9655172413293698,0.009665921272971415,1,15.0,1,14,IMG_4879.JPG
0.8802703125,0.16192011463370948,0.058770946088709024,0.08623999809203545,0.045063120770659125,61527,22332,0.35714285714285715,1.0,0.526315789434903,0.011726817081921437,1,14.0,1,5,DSC04211.JPG
0.8265125,0.07896500716497942,0.1790336949117015,0.10959277614717157,0.05797310482331481,38166,86532,0.4166666666666667,1.0,0.5882352940761245,0.11624136327506578,3,12.0,3,5,IMG_4851.JPG
0.794903125,0.743746653407787,0.13503416476862395,0.22856941359004196,0.12903097380364678,144008,26146,0.5,1.0,0.6666666666222222,0.033546459722439456,1,8.0,1,4,IMG_4689.JPG
0.9545078125,0.09576078728236184,0.020367910477800587,0.033591130879277724,0.017082475270922656,24843,5284,0.16666666666666666,1.0,0.2857142856897959,0.020367910477800587,1,6.0,1,1,DSC04205.JPG
0.816840625,0.003702335649798562,0.2579293836026332,0.007299888215168863,0.003663315002592369,1671,116413,0.05263157894736842,1.0,0.0999999999905,0.006175050503603307,1,19.0,1,1,IMG_4662.JPG
0.8574375,0.0,1.0,0.0,0.0,0,91240,0.0,1.0,0.0,0.0,0,,0,0,IMG_4676.JPG
0.93326875,0.040279191507924965,0.03500568684443321,0.037457741717376605,0.019086336388065873,23739,20631,0.25,1.0,0.399999999968,0.0144267361917004,1,8.0,1,2,IMG_4886.JPG
0.787896875,0.3477083270637094,0.09197213930348258,0.14546690671937754,0.07843856076035302,125625,33229,0.8181818181818182,1.0,0.8999999999505,0.010067811850666958,1,11.0,1,9,IMG_4892.JPG
0.786846875,0.0,1.0,0.0,0.0,0,136418,0.0,1.0,0.0,0.0,0,,0,0,DSC03998.JPG
0.892025,0.4960653753026634,0.14262922782386725,0.22155634659577345,0.1245787833489574,68948,19824,0.42857142857142855,1.0,0.5999999999579999,0.0237340576765849,1,14.0,1,6,DSC04013.JPG
0.8097875,0.6640333084231878,0.049836149636644796,0.09271404722155974,0.04861045984557191,124809,9367,0.5,1.0,0.6666666666222222,0.016588439902928864,1,6.0,1,3,DSC04007.JPG
0.8982484375,0.04389285543150127,0.06773394461492957,0.053267427491458894,0.02736247815631861,27047,41738,0.23076923076923078,1.0,0.37499999996953126,0.0976677700784966,3,13.0,3,3,IMG_5018.JPG
0.7630859375,0.16207193924388683,0.04575512447969842,0.07136338859729172,0.03700198792005132,127330,35947,0.625,0.6666666666666666,0.6451612902726327,0.05444388316471854,3,8.0,2,5,IMG_5024.JPG
0.9963078125,0.0,0.0,0.0,0.0,1849,514,0.0,0.0,0.0,0.0,1,1.0,0,0,DSC03967.JPG
0.9656453125,0.0,1.0,0.0,0.0,0,21987,0.0,1.0,0.0,0.0,0,,0,0,DSC03973.JPG
0.8469203125,1.0,0.012578236023342303,0.024843978619845324,0.012578236023342303,99219,1248,1.0,1.0,0.99999999995,0.014232294125351107,2,2.0,2,2,IMG_5030.JPG
0.9053546875,0.12615248444914318,0.17011471387839003,0.1448718853674031,0.07809265798124924,30162,40673,0.14285714285714285,1.0,0.249999999978125,0.08505735693919501,1,14.0,1,2,IMG_2039.JPG
0.8483421875,1.0,0.010974342252746133,0.021710426850778612,0.010974342252746133,98138,1077,1.0,0.6666666666666666,0.799999999952,0.0139475940994271,3,2.0,2,2,IMG_5031.JPG
0.974153125,0.0,1.0,0.0,0.0,0,16542,0.0,1.0,0.0,0.0,0,,0,0,DSC03972.JPG
0.89605625,0.1502376207266595,0.15020691769274,0.15022226764089724,0.0812109828186288,39146,39138,0.3125,1.0,0.476190476154195,0.06095045205954428,2,16.0,2,5,IMG_2038.JPG
0.9545296875,0.0,0.0,0.0,0.0,3538,25563,0.0,0.0,0.0,0.0,1,15.0,0,0,DSC03966.JPG
0.79195,0.2611555800901647,0.10102861617312073,0.14569485435647375,0.07857113199451926,112384,43476,0.625,1.0,0.7692307691834319,0.07991474323852832,2,8.0,2,5,IMG_5025.JPG
0.9134671875,0.2776658801864534,0.10125068199941244,0.14839076748012486,0.08014151413480385,47654,17377,0.5,0.75,0.599999999952,0.050823284647824714,4,12.0,3,6,IMG_2004.JPG
0.87636875,0.0076717244366077365,0.03207656987647934,0.012382046033251786,0.0062295905551369,15463,64653,0.07692307692307693,1.0,0.14285714284387757,0.03186636684869901,1,13.0,1,1,IMG_5019.JPG
0.814871875,0.6273374888691006,0.0466672186801358,0.08687208101484348,0.045408401682270096,120770,8984,0.5,0.5,0.49999999995,0.01577262873906156,2,6.0,1,3,DSC04006.JPG
0.8959734375,0.5220276405727685,0.1550993181144382,0.23914608641989418,0.13581256490134994,67460,20043,0.4166666666666667,1.0,0.5882352940761245,0.030969768207223924,1,12.0,1,5,DSC04012.JPG
0.7822265625,0.0,1.0,0.0,0.0,0,139375,0.0,1.0,0.0,0.0,0,,0,0,DSC03999.JPG
0.774703125,0.3136180208396073,0.07900646375140351,0.1262165339538717,0.06735918863677524,131812,33206,0.6875,1.0,0.8148148147665295,0.007143230189818081,1,16.0,1,11,IMG_4893.JPG
0.935153125,0.08946808091163598,0.10972484162677112,0.09856646394439618,0.05183797491489799,20679,25361,0.16666666666666666,0.5,0.2499999999625,0.058736733108982656,2,12.0,1,2,IMG_4887.JPG
0.833878125,0.0,1.0,0.0,0.0,0,106318,0.0,1.0,0.0,0.0,0,,0,0,IMG_4677.JPG
0.748434375,0.9315267702074972,0.4232370941739252,0.582030114226376,0.41046718979425195,264861,120339,1.0,0.5,0.6666666666222222,0.1044559358844341,4,7.0,2,7,IMG_2560.JPG
0.900015625,0.7090715048025613,0.1850026452816529,0.2934434556014398,0.17195061984005797,71826,18740,0.8,0.8333333333333334,0.8163265305622658,0.09418795932015353,6,10.0,5,8,IMG_4688.JPG
0.8512984375,0.09066767830045523,0.19260325226651318,0.12329461184859009,0.06569737190877765,34745,73808,0.45454545454545453,1.0,0.6249999999570313,0.06972105213462323,2,11.0,2,5,IMG_4850.JPG
0.947753125,0.2830188679245283,0.03101503759398496,0.05590377774013214,0.028755663994423145,31920,3498,0.3333333333333333,0.5,0.39999999995200003,0.03292208440025274,2,3.0,1,1,DSC04204.JPG
0.82894375,0.35005375746116485,0.09312831033564462,0.14711748208164538,0.07939924990329471,101387,26973,0.6428571428571429,1.0,0.7826086956045369,0.010333769317118097,1,14.0,1,9,DSC04210.JPG
0.860034375,0.027990233042479083,0.042137412833126116,0.03363683438336066,0.017106114969770783,36998,55698,0.14285714285714285,1.0,0.249999999978125,0.021068706416563054,1,14.0,1,2,IMG_4844.JPG
0.933865625,0.1451304260247759,0.040845828963405995,0.06374977880021235,0.032924349395663396,35279,9929,0.25,0.5,0.33333333328888887,0.021038339124594855,2,8.0,1,2,IMG_4878.JPG
0.941959375,0.08555448745958227,0.03539279129460251,0.05007160392798691,0.025678688524590165,27661,11443,0.18181818181818182,0.4,0.2499999999570313,0.08110606616208921,5,11.0,2,2,IMG_2428.JPG
0.951371875,0.1698966408268734,0.0631452581032413,0.09207071591107999,0.048256880733944955,24990,9288,0.16666666666666666,1.0,0.2857142856897959,0.0631452581032413,1,6.0,1,1,IMG_4703.JPG
0.811671875,0.39663172835462385,0.12864301143808207,0.19427509492486228,0.10758842300886266,112956,36636,0.6153846153846154,0.8,0.6956521738638941,0.07726107336567918,5,13.0,4,8,IMG_4717.JPG
0.8882953125,0.0,0.0,0.0,0.0,71491,0,0.0,0.0,0.0,0.0,5,0.0,0,0,DSC04370.JPG
0.759515625,0.2720671464878372,0.0960962546675216,0.1420273373915758,0.07644210286290347,132565,46823,0.5,1.0,0.6666666666222222,0.013380827668092194,1,14.0,1,7,DSC04364.JPG
0.6723453125,0.5325627516576854,0.24592855722221452,0.336477460060309,0.20226804986514196,216201,99838,0.8181818181818182,0.6666666666666666,0.7346938775015409,0.045416175921231414,3,11.0,2,9,IMG_4930.JPG
0.7279203125,0.41393563115023435,0.31039066299238127,0.3547620900356096,0.2156296593258589,154225,115646,0.5714285714285714,1.0,0.7272727272264462,0.1249826708613981,2,7.0,2,4,IMG_4918.JPG
0.8310515625,0.008641435134543863,0.043200087493848086,0.014401998049349631,0.007253229523398551,18287,91420,0.05263157894736842,0.5,0.09523809522086168,0.13252809931219595,2,19.0,1,1,DSC04358.JPG
0.8618484375,0.21437219571255609,0.14031761817447244,0.16961409506278352,0.09266575677034695,64354,42123,0.35294117647058826,1.0,0.5217391303962193,0.04820565373387914,2,17.0,2,6,IMG_2158.JPG
0.9076828125,0.4123052624021825,0.2119305496614204,0.2799585643775516,0.1627626861653134,54197,27858,0.4444444444444444,0.75,0.558139534836993,0.15651009245831815,4,9.0,3,4,IMG_2164.JPG
0.9007921875,0.3160887656033287,0.03745829292746668,0.06697917738166963,0.03465000304080764,60841,7210,0.375,1.0,0.545454545414876,0.012451827477844036,1,8.0,1,3,DSC04199.JPG
0.8859265625,0.03897613912105689,0.12646946251845373,0.059588061777852204,0.03070897503983006,18289,59344,0.21428571428571427,1.0,0.3529411764415225,0.041337479691157364,1,14.0,1,3,DSC04166.JPG
0.9786375,1.0,0.08701168614357262,0.1600933775648114,0.08701168614357262,14975,1303,1.0,1.0,0.99999999995,0.04350584307178631,1,2.0,1,2,DSC04158.JPG
0.8701046875,0.02769236302170434,0.0503235082674335,0.03572547063667892,0.018187615887000578,30602,55611,0.23076923076923078,0.25,0.23999999995008,0.020605246879012093,4,13.0,1,3,DSC04170.JPG
0.8756265625,0.028653921868848155,0.13142054574638845,0.04704952770893941,0.024091510960717964,14952,68577,0.23076923076923078,1.0,0.37499999996953126,0.04046142269276273,1,13.0,1,3,DSC04164.JPG
0.9165421875,1.0,0.07026979982593559,0.1313123099191699,0.07026979982593559,57450,4037,1.0,1.0,0.99999999995,0.035134899912967796,1,2.0,1,2,IMG_4926.JPG
0.8642015625,0.018950789433233053,0.02002413105016474,0.019472680708959012,0.009832068721944994,43098,45539,0.05555555555555555,0.3333333333333333,0.09523809521360545,0.0007842258570468295,3,18.0,1,1,DSC04414.JPG
0.659396875,0.5325321935548823,0.2584908594149137,0.348042206510426,0.21068468448895794,225095,109261,0.75,1.0,0.8571428570938775,0.07657582823648888,1,4.0,1,3,IMG_4932.JPG
0.9219921875,0.4541330087418391,0.08359133126934984,0.14119347014604441,0.07595920709248737,49096,9037,0.5,0.375,0.42857142852244895,0.09439672065820973,8,8.0,3,4,IMG_2416.JPG
0.9511953125,0.15566234851650648,0.060463417603376216,0.08709630279117346,0.045530939648586705,24643,9572,0.125,0.5,0.199999999968,0.06536807931911906,2,8.0,1,1,IMG_4701.JPG
0.7968140625,0.36062035146993265,0.1300800622894768,0.19119412361067054,0.1057018478911209,118158,42621,0.8181818181818182,0.8333333333333334,0.8256880733444997,0.05206996761758057,6,11.0,5,9,IMG_4715.JPG
0.718615625,0.49759575979454673,0.10123395030848757,0.1682400975465563,0.09184615151866625,179910,36602,0.7142857142857143,1.0,0.8333333332847221,0.026053076056117272,3,21.0,3,15,DSC04399.JPG
0.956809375,0.09227389234712559,0.02173538036915646,0.03518324607329843,0.017906629716478363,23188,5462,0.25,1.0,0.399999999968,0.02173538036915646,1,4.0,1,1,DSC04206.JPG
0.821715625,0.08573281002165029,0.17407555419732482,0.11488457242149684,0.06094299093879365,42539,86373,0.6923076923076923,0.7142857142857143,0.7031249999500123,0.07156981915266797,7,13.0,5,9,IMG_4852.JPG
0.89464375,0.32314603431769645,0.07006786427145709,0.11516455829090337,0.061100590397682966,62625,13579,0.4166666666666667,1.0,0.5882352940761245,0.013936747104175997,1,12.0,1,5,DSC04212.JPG
0.839821875,0.0,1.0,0.0,0.0,0,102514,0.0,1.0,0.0,0.0,0,,0,0,IMG_4675.JPG
0.789284375,0.15574007817508737,0.2205964203064124,0.18257970663110681,0.10046091556106965,68274,96706,0.6363636363636364,0.75,0.6885245901142705,0.09449375772339459,8,11.0,6,7,IMG_1719.jpg
0.8199046875,0.0,1.0,0.0,0.0,0,115261,0.0,1.0,0.0,0.0,0,,0,0,IMG_4661.JPG
0.9060125,0.0,1.0,0.0,0.0,0,60152,0.0,1.0,0.0,0.0,0,,0,0,IMG_4649.JPG
0.7899890625,0.39383679067375277,0.07098329123311163,0.1202866773570704,0.06399203320426752,129453,23332,0.7,1.0,0.8235294117162629,0.010067751296864895,1,10.0,1,7,IMG_4891.JPG
0.9318015625,0.03907983516732328,0.037054529841133534,0.03804024419809138,0.019388901370478544,23290,22083,0.2,1.0,0.3333333333055556,0.016612150847372584,1,10.0,1,2,IMG_4885.JPG
0.8158578125,0.39660676024312386,0.08017892187196124,0.13339118029869623,0.07146177543511319,113122,22869,0.6428571428571429,1.0,0.7826086956045369,0.00878969062067408,1,14.0,1,9,DSC04038.JPG
0.833375,0.8106620808254514,0.0827990796199041,0.1502518008542105,0.08122824551125203,113866,11630,0.7,0.5,0.5833333332847223,0.023120935708841595,4,10.0,2,7,DSC04004.JPG
0.80855,0.9028969957081545,0.03974526504715273,0.07613891695444332,0.039576099140127136,127034,5592,1.0,1.0,0.99999999995,0.030723230659522937,3,5.0,3,5,DSC04010.JPG
1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0.0,0,0,DSC03958.JPG
1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0.0,0,0,DSC03970.JPG
0.681146875,0.5212491513917176,0.11184593870178301,0.18417328312024756,0.10142668428005285,205944,44190,0.8888888888888888,1.0,0.9411764705384082,0.01364225004838766,1,9.0,1,8,IMG_5033.JPG
0.8506046875,1.0,0.08637197569086114,0.15900994801699342,0.08637197569086114,104652,9039,1.0,0.8333333333333334,0.9090909090413223,0.04892845698654329,6,10.0,5,10,IMG_5027.JPG
0.994684375,0.0,1.0,0.0,0.0,0,3402,0.0,1.0,0.0,0.0,0,,0,0,DSC03964.JPG
0.9966625,0.0,1.0,0.0,0.0,0,2136,0.0,1.0,0.0,0.0,0,,0,0,DSC03965.JPG
