precision,recall,f1,gt_boxes,pred_boxes,matched_boxes,false_positives,false_negatives,filename
0.25,0.09090909090909091,0.13333333333333333,11,4,1,3,10,DSC04321_JPG.rf.334b8c0bdd79035c2810f17c1415d3b9.jpg
0.16666666666666666,0.17647058823529413,0.17142857142857143,17,18,3,15,14,DSC04047_JPG.rf.51196b4ff6f5f2df456ca629ddeed2ea.jpg
0.35714285714285715,0.2631578947368421,0.30303030303030304,19,14,5,9,14,DSC04149_JPG.rf.23a88cedba193cd08196be6f384d835d.jpg
0.0,0.0,0.0,5,3,0,3,5,IMG_2299_JPG.rf.b19a9c6c0e8888cd4188f088c9640ccb.jpg
0.0,0.0,0.0,16,8,0,8,16,IMG_4884_JPG.rf.86996cb6a51a23d9b47cc8d39edf234f.jpg
0.0,0.0,0.0,27,11,0,11,27,DSC04440_JPG.rf.314170f3ec8afd61d395cb36b25b2326.jpg
0.375,0.2222222222222222,0.27906976744186046,27,16,6,10,21,DSC04215_JPG.rf.91353d788a1bae5792e77ae8bafc8e8e.jpg
0.6666666666666666,0.18181818181818182,0.28571428571428575,11,3,2,1,9,IMG_2431_JPG.rf.6b98d4a0758a662a9353ade2db25606c.jpg
0.14285714285714285,0.125,0.13333333333333333,8,7,1,6,7,IMG_5023_JPG.rf.79f5a5b8ca4ae1306fff30ccba7a8446.jpg
0.0,0.0,0.0,1,1,0,1,1,IMG_4762_JPG.rf.3d4d38f0f4645a06d2cdd6708266c148.jpg
1.0,0.0,0.0,9,0,0,0,9,DSC04276_JPG.rf.6704d67b41571bc87972fbdace7af6be.jpg
0.0,0.0,0.0,10,4,0,4,10,DSC04023_JPG.rf.64b449cbb633f4c4b9e0b2dcb718bf73.jpg
0.2,0.09090909090909091,0.12500000000000003,11,5,1,4,10,IMG_4687_JPG.rf.fa7d6946fa4302b9103ad28a820d236d.jpg
0.0,0.0,0.0,5,4,0,4,5,DSC04094_JPG.rf.a198f11979e0ff0cf8fdcc13fc66e872.jpg
0.0,0.0,0.0,2,4,0,4,2,DSC04288_JPG.rf.255b5cdae32cdad8c681548d8861f66c.jpg
0.0,0.0,0.0,6,6,0,6,6,IMG_4774_JPG.rf.53f52cd4d8fd117c29b5f9bed8abf825.jpg
0.3333333333333333,0.06666666666666667,0.1111111111111111,15,3,1,2,14,IMG_4878_JPG.rf.d9539f79b16ec45632d01d3c91636aee.jpg
0.5,0.5,0.5,2,2,1,1,1,DSC04186_JPG.rf.e5e7d276098964e0d1580a36ad9499c7.jpg
0.125,0.2,0.15384615384615385,5,8,1,7,4,IMG_2599_JPG.rf.a004c482b53022a46ee527c36affba58.jpg
0.0,0.0,0.0,2,6,0,6,2,IMG_2218_JPG.rf.11e873ec780f3ebc3f688accf2c80d5e.jpg
0.0,0.0,0.0,40,28,0,28,40,DSC04397_JPG.rf.804d11da546b356933056422d013c7c0.jpg
