accuracy,precision,recall,f1_score,iou,gt_pixels,pred_pixels,filename
0.800796875,0.052990353697749196,0.028816562529142963,0.037331803011311296,0.01902094458380142,85784,46650,IMG_4913.JPG
0.948471875,0.1144458090267117,0.06501831501831502,0.08292547274749723,0.04325625924743973,22932,13028,IMG_2104.JPG
0.994765625,0.0,0.0,0.0,0.0,0,3350,DSC03970.JPG
0.9697890625,0.0,0.0,0.0,0.0,0,19335,IMG_4636.JPG
0.926425,0.0,0.0,0.0,0.0,0,47088,IMG_4669.JPG
0.916528125,0.0,0.0,0.0,0.0,0,53422,DSC03992.JPG
0.8911953125,0.8899620329048158,0.1642530487804878,0.27732287223554075,0.16098366186322233,81344,15013,IMG_5028.JPG
0.9858234375,0.0,0.0,0.0,0.0,336,8737,DSC03996.JPG
0.8876546875,0.46692685214653024,0.41023075111843654,0.43674649244436087,0.27938302414384075,67952,59701,IMG_2121.JPG
0.942928125,0.1527343606340333,0.23541749333937986,0.18526945039257675,0.10209198849529241,17641,27191,IMG_4816.JPG
0.8216984375,0.2974568878749245,0.08688834661256971,0.13449125867495923,0.07209360947804097,102039,29806,IMG_4921.JPG
0.950221875,0.1947229926747742,0.37282135076252726,0.25582807755197384,0.14667595221513902,14688,28122,IMG_4812.JPG
0.9631984375,0.0,0.0,0.0,0.0,16980,6573,IMG_4599.JPG
0.84785,0.32369784565039544,0.05149451216866947,0.08885395613444122,0.046492499314558774,92204,14668,IMG_4694.JPG
0.9190875,0.010000571461226355,0.0050526923632164,0.00671346913722331,0.0033680401855308993,34635,17499,DSC04384.JPG
0.930521875,0.3334825425246195,0.03466890036762995,0.06280824516292206,0.03242231699886848,42978,4468,IMG_1703.jpg
0.9073515625,0.0,0.0,0.0,0.0,25911,33384,DSC04279.JPG
0.92205625,0.18010211975862603,0.19925365469547057,0.18919446069826407,0.1044808272296424,29209,32315,IMG_4705.JPG
0.8450328125,0.0,0.0,0.0,0.0,0,99179,IMG_4660.JPG
0.9407828125,0.028267837034042675,0.18740428790199082,0.049125624106179586,0.025181336488502494,5224,34633,DSC04141.JPG
0.82565625,0.9794987455969185,0.2586750366409455,0.40926706338281693,0.2572820703977848,149423,39461,IMG_2392.JPG
0.9669453125,0.670594218869204,0.3141779189833201,0.4278876058090164,0.2721736737081126,25180,11797,IMG_2046.JPG
0.9494953125,0.0982192032311364,0.019144063551134332,0.03204264366783458,0.016282183943027575,27946,5447,IMG_4759.JPG
0.906125,0.0,0.0,0.0,0.0,0,60080,IMG_4734.JPG
0.9936890625,0.0,0.0,0.0,0.0,0,4039,DSC03941.JPG
0.8421984375,0.011754911341128521,0.04221706533380935,0.018389463964620694,0.009280059643512296,22408,80477,IMG_4947.JPG
0.973325,0.0,0.0,0.0,0.0,0,17072,IMG_4653.JPG
0.836409375,0.002454357994266459,0.04228036735401144,0.004639400680698952,0.002325093861371043,5771,99415,DSC04356.JPG
0.892896875,0.42179306456160137,0.23748372964221087,0.3038753706787992,0.17915863340797777,62998,35470,DSC04012.JPG
0.9745484375,0.6425153139356815,0.3484195775159599,0.4518256772673734,0.29184418746195984,19267,10448,IMG_2315.JPG
0.928675,0.1943742745954803,0.07758550211200436,0.11090335397919832,0.058707083204454065,36695,14647,DSC04193.JPG
0.912378125,0.35670391061452517,0.04727353496464665,0.08348314974013664,0.04355983080911448,54026,7160,DSC04368.JPG
0.867275,0.5972415069887994,0.07412258027457062,0.13187801488022238,0.07059389907654602,87045,10803,IMG_4907.JPG
0.8206515625,0.19747297764177485,0.0886500858583061,0.12236690190921116,0.06517082705542208,90265,40522,DSC04222.JPG
0.9615140625,0.20602493074792244,0.18431323957623444,0.19456525293482882,0.10776642758820547,16141,14440,IMG_4702.JPG
0.876021875,0.38386777948605316,0.0930693860162948,0.14981570375450026,0.08097339495233793,75116,18212,IMG_4779.JPG
0.9135640625,0.4040607385252502,0.13514033434007272,0.20254003949891164,0.11268125240600539,51983,17386,DSC04228.JPG
0.970753125,0.0,0.0,0.0,0.0,0,18718,IMG_4637.JPG
0.9089703125,0.1580692189403471,0.3295719520319787,0.21366194711765576,0.11960890984374528,24016,50073,IMG_2526.JPG
0.9524109375,0.0,0.0,0.0,0.0,13833,16624,DSC04093.JPG
0.836296875,0.0013455996030004008,0.5300751879699248,0.002684384876061379,0.0013439963397546492,266,104786,IMG_4662.JPG
0.766975,0.40482655921513666,0.06383728158021963,0.11028385295486273,0.058360009849790694,144790,22832,IMG_4881.JPG
0.9745828125,0.0,0.0,0.0,0.0,702,15565,DSC04110.JPG
0.94174375,0.0,0.0,0.0,0.0,10957,26327,DSC04166.JPG
0.9820671875,0.0,0.0,0.0,0.0,3683,7794,DSC04133.JPG
0.8597546875,0.0531277843393216,0.05499313658201784,0.054044369499920954,0.027772662774450018,46624,48261,IMG_4998.JPG
0.9079625,0.0,0.0,0.0,0.0,9928,48976,IMG_5019.JPG
0.9555109375,0.0,0.0,0.0,0.0,28403,70,IMG_4956.JPG
0.90368125,0.0,0.0,0.0,0.0,0,61644,IMG_4667.JPG
0.9721359375,0.0,0.0,0.0,0.0,0,17833,DSC04121.JPG
0.8991578125,0.0,0.0,0.0,0.0,0,64539,DSC04056.JPG
0.936171875,0.33394411360513054,0.018168224299065422,0.034461567552235985,0.01753288919887443,40125,2183,DSC04391.JPG
0.8886109375,0.016247685455485678,0.07328818660647103,0.026598577221896035,0.013478543653045127,13290,59947,DSC04358.JPG
0.9518796875,0.0,0.0,0.0,0.0,0,30797,IMG_4678.JPG
0.9348078125,0.18673110720562391,0.23830062540435626,0.20938737612036457,0.11693616661022689,23185,29588,IMG_4706.JPG
0.9749828125,0.43234425974832996,0.18381770145310436,0.2579598646707142,0.14807917420453337,15140,6437,IMG_2054.JPG
0.893646875,0.2873032849503438,0.1736448425524056,0.21646137907217683,0.12136624154489596,54145,32725,IMG_2274.JPG
0.962525,0.4808500123548307,0.16439976345357776,0.24502644170234197,0.13961830965705266,23674,8094,DSC03924.JPG
0.85935,0.146335942047733,0.1955826417704011,0.1674127788671427,0.09135323925463833,46272,61844,IMG_2140.JPG
0.924684375,0.0,0.0,0.0,0.0,0,48202,IMG_4664.JPG
0.9600359375,0.1394840207105874,0.3316353602886554,0.19637414773619885,0.10887743014424082,9423,22404,IMG_4814.JPG
0.9025984375,0.0,0.0,0.0,0.0,17213,45124,IMG_4970.JPG
0.811071875,0.44512825021429986,0.17470518715331992,0.25092616684632446,0.14346230678775343,115921,45497,DSC04031.JPG
0.815965625,0.109310118744081,0.031153327104744107,0.048487688231112255,0.02484621180132966,96330,27454,DSC04210.JPG
0.9366125,0.0607550881440569,0.42005231037489105,0.10615608337372759,0.05605323777834656,5735,39651,IMG_2491.JPG
0.9472921875,0.09637395402519958,0.03954222573007103,0.05607633545065339,0.028846984309774004,25340,10397,DSC03933.JPG
0.915003125,0.658746668400182,0.3158526322351401,0.4269793115071841,0.2714390946226478,64166,30766,IMG_2116.JPG
0.8317890625,0.5293695908229631,0.09500744471608978,0.1611015436884882,0.0876076344158926,108802,19527,IMG_5020.JPG
0.9816734375,0.0,0.0,0.0,0.0,0,11729,DSC03973.JPG
0.833575,0.18852273584194254,0.02544503363833447,0.04483822368893035,0.022933255054489413,98251,13261,DSC04209.JPG
0.744615625,0.0025223242625587203,0.006492799093622677,0.0036332158837370917,0.0018199140121164744,45897,118145,DSC04297.JPG
0.9882296875,0.0,0.0,0.0,0.0,0,7533,DSC03958.JPG
0.957840625,0.1720508545227178,0.22940113936362372,0.1966295480259632,0.10903447364945186,14394,19192,IMG_4887.JPG
0.9398671875,0.0,0.0,0.0,0.0,23701,14784,IMG_5050.JPG
0.9134296875,0.16146016146016146,0.05026223776223776,0.07666027831014083,0.03985789792912226,45760,14245,DSC04191.JPG
0.9912390625,0.0,0.0,0.0,0.0,0,5607,IMG_4620.JPG
0.9749265625,0.10536895887427758,0.18991545893719808,0.13553843667510643,0.07269575267263796,6624,11939,DSC04073.JPG
0.890678125,0.0015801570580348593,0.0023296858453935756,0.0018830779765471198,0.0009424263193968472,28330,41768,DSC04281.JPG
0.90955625,0.413066545399424,0.04802862329696671,0.08605172577130767,0.044960319424507914,56737,6597,DSC04369.JPG
0.918,0.04806342148373508,0.0761282550273376,0.05892479288455331,0.030356779927202853,21582,34184,IMG_5007.JPG
0.822090625,0.8311798402219425,0.5076483785437488,0.6303229828184049,0.46019826200736724,191217,116787,IMG_2539.JPG
0.863125,0.25551013153217206,0.1213182547050384,0.16452074391988555,0.08963367108339829,71094,33756,DSC04326.JPG
0.7012453125,0.5449534410788826,0.05279366247932685,0.09626173966885508,0.05056458740925387,192883,18686,IMG_4752.JPG
0.9349578125,0.0,0.0,0.0,0.0,0,41627,IMG_4682.JPG
0.8020734375,0.16376211316036263,0.038286909732055584,0.06206360371700419,0.032025614378285855,109463,25592,IMG_4893.JPG
0.9624671875,0.07876113562567646,0.06804776291181125,0.07301354532474047,0.03789001481956182,13902,12011,IMG_2115.JPG
0.872275,0.15838331905169953,0.07085356503961156,0.0979076542773903,0.051473659781851935,62608,28008,DSC04322.JPG
0.7289828125,0.006878525244187647,0.020266162264405863,0.010270982761867267,0.005162000791506788,44409,130842,DSC04303.JPG
0.94214375,0.0,0.0,0.0,0.0,26542,10486,IMG_4769.JPG
0.988865625,0.0,0.0,0.0,0.0,0,7126,IMG_4624.JPG
0.853,0.004947773501924134,0.0003044757941743631,0.0005736503282554655,0.0002869074564060059,88677,5457,IMG_4693.JPG
0.965325,0.6397888605751729,0.1481372218476062,0.24057217165149541,0.1367331855136733,23728,5494,IMG_4605.JPG
0.6440265625,0.609743987587277,0.08364978543695933,0.1471168496673792,0.07939888148962307,234896,32225,DSC04075.JPG
0.887034375,0.0,0.0,0.0,0.0,36187,36111,IMG_2424.JPG
0.9822875,0.0,0.0,0.0,0.0,441,10895,IMG_4631.JPG
0.9670796875,0.0,0.0,0.0,0.0,15471,5598,IMG_4773.JPG
0.702184375,0.16489659027389603,0.08551147812192897,0.11262058177213305,0.05967034539238371,141443,73349,IMG_4994.JPG
0.9557015625,0.0,0.0,0.0,0.0,20966,7385,IMG_2126.JPG
0.8178921875,0.4018204131724279,0.03427579408352162,0.06316364834776178,0.032611763143478474,114629,9778,IMG_4689.JPG
0.9825625,0.568904593639576,0.34384754394611466,0.4286299406102806,0.27277466440766324,12174,7358,DSC04155.JPG
0.8725734375,0.5602135450532152,0.19242523979687795,0.28645673838292807,0.1671721658854406,85072,29221,DSC04016.JPG
0.9058421875,0.9469119792510942,0.1638822258693487,0.27940736843363984,0.16239019237184477,71289,12338,IMG_5027.JPG
0.916440625,0.01119139046079224,0.029972936400541272,0.01629754984916489,0.008215723002169842,14780,39584,DSC04171.JPG
0.880153125,0.0,0.0,0.0,0.0,0,76702,DSC04054.JPG
0.9067421875,0.09723882721320809,0.29725026105116603,0.14654025996310754,0.07906309308892283,17238,52695,IMG_2527.JPG
0.9331421875,0.16891030182797223,0.197866954392663,0.1822455805064501,0.10025863700401623,24097,28228,IMG_2525.JPG
0.8667640625,0.0,0.0,0.0,0.0,56116,29155,IMG_5065.JPG
0.9794328125,0.0,0.0,0.0,0.0,0,13163,DSC04104.JPG
0.9559078125,0.0,0.0,0.0,0.0,0,28219,DSC04127.JPG
0.9741609375,0.12176706827309237,0.2129512571990448,0.15493893402831008,0.0839749626100925,7119,12450,DSC04067.JPG
0.954540625,0.0,0.0,0.0,0.0,29010,84,IMG_4957.JPG
0.865746875,0.27100059354596856,0.6205441236080975,0.37725045661438555,0.23247608243186507,41939,96033,IMG_4810.JPG
0.9682046875,0.6139073450441431,0.29516016103623316,0.3986524424480629,0.24894810659186536,22852,10987,IMG_2045.JPG
0.912065625,0.0,0.0,0.0,0.0,13403,42875,IMG_2597.JPG
0.74425625,0.7082585999196894,0.14761067871788433,0.2443049078904843,0.13914996344664,179235,37355,DSC04044.JPG
0.9347984375,0.0,0.0,0.0,0.0,40449,1280,DSC04336.JPG
0.8929703125,0.1828456510809452,0.24600898317008496,0.20977584993597362,0.11717853874805068,36958,49725,IMG_2030.JPG
0.7258375,0.08595442336019408,0.012689478733610489,0.0221142271166793,0.011180740273206799,156350,23082,IMG_4937.JPG
0.87796875,0.27325067692746186,0.1541590956600042,0.19711330879782882,0.10933205606304242,62189,35085,IMG_5012.JPG
0.9438109375,0.0,0.0,0.0,0.0,9214,26747,DSC04132.JPG
0.8966109375,0.06785984371061256,0.02745481989148615,0.03909324581403116,0.019936310449529735,49026,19835,IMG_4898.JPG
0.8347765625,0.32783563786300784,0.21357199921268047,0.25864619483296525,0.14853167349765278,86369,56266,IMG_4717.JPG
0.923284375,0.01554171408037372,0.030999880539959383,0.020703685974150312,0.010460124554084285,16742,33394,DSC04170.JPG
0.844090625,0.32232026943122166,0.21176834167748315,0.25560263793978094,0.14652775995825956,80895,53149,IMG_4721.JPG
0.9880125,0.0,0.0,0.0,0.0,2399,5273,DSC04064.JPG
0.7904359375,0.013511131997885215,0.02241453241336296,0.016859574405700004,0.00850145263951623,51306,85115,DSC04301.JPG
0.8501375,0.028649725959143,0.027324568351021702,0.027971461002107994,0.014184105579081528,50504,48168,IMG_4996.JPG
0.9709625,0.38615179760319573,0.23042601307988508,0.28862348798040116,0.1686499060570815,16361,9763,IMG_4747.JPG
0.70965625,0.22853372567458932,0.10042992834527578,0.13953897589301423,0.07500236451338314,150025,65929,IMG_4916.JPG
0.861603125,0.13509402207334045,0.0632184778492995,0.08613111574255587,0.04500366584724199,66025,30897,IMG_4698.JPG
0.83075,0.0907407844154619,0.19777423666084096,0.12440384770835017,0.06632763004783865,38908,84802,DSC04411.JPG
0.9643046875,0.0,0.0,0.0,0.0,0,22845,IMG_4650.JPG
0.986890625,0.22159434914228052,0.1949920085242408,0.20744379368977897,0.11572512647554806,5631,4955,IMG_2259.JPG
0.9785640625,0.5745569620253165,0.304692219910049,0.3982102908277405,0.24860335195530725,14897,7900,DSC04153.JPG
0.7914765625,0.6173580923185165,0.17205664024202358,0.2691121784515288,0.1554763833341771,142796,39797,DSC04049.JPG
0.8948046875,0.8125218607904862,0.06552983822056728,0.12127856741976323,0.06455377860527156,70899,5718,IMG_4974.JPG
0.7637875,0.057394495412844033,0.005621248607267369,0.01023962288856881,0.005146158807038787,139115,13625,IMG_4720.JPG
0.934284375,0.2191368350618936,0.12287393696848424,0.15745823149965946,0.08545707575889362,31984,17934,DSC04102.JPG
0.6625828125,0.3315590418826166,0.1374042175922994,0.1942907458743904,0.10759802300978577,189492,78529,DSC04266.JPG
0.9464328125,0.03152636197934247,0.14314176245210727,0.05167215291416558,0.026521282335235822,6525,29626,IMG_2272.JPG
0.8319265625,0.7970602181128497,0.05972694729922987,0.11112671982812047,0.05883227900709592,112579,8436,IMG_4763.JPG
0.9022890625,0.919463483809974,0.20279410423155617,0.33229763925814404,0.19925476336816225,76733,16924,IMG_5026.JPG
0.8787765625,0.6871675036046339,0.16238603252185355,0.2626942266571632,0.15120782460286203,85112,20113,IMG_4905.JPG
0.8925953125,0.0,0.0,0.0,0.0,60687,8052,IMG_4862.JPG
0.8294421875,0.28735107018592065,0.08424002637652489,0.13028547753547554,0.06968201614209131,97056,28453,IMG_5024.JPG
0.916325,0.0,0.0,0.0,0.0,0,53552,DSC03981.JPG
0.864715625,0.0,0.0,0.0,0.0,0,86582,IMG_4737.JPG
0.9749234375,0.0,0.0,0.0,0.0,8507,7542,DSC04186.JPG
0.93050625,0.06661795788429925,0.226751931787903,0.10298092049534106,0.05428565353292649,11259,38323,IMG_2496.JPG
0.94379375,0.0,0.0,0.0,0.0,0,35972,DSC04122.JPG
0.988796875,0.18117023039946958,0.3289196509178453,0.23364685763146642,0.13227641292508774,3323,6033,IMG_4829.JPG
0.9351859375,0.5397366382649109,0.08296423298566462,0.1438213379017111,0.07748248637829423,41994,6455,DSC03931.JPG
0.9230828125,0.054576814093877046,0.025485401984754782,0.03474577932900645,0.01768004310258815,34765,16234,IMG_5044.JPG
0.9458234375,0.15564738292011018,0.010219154131371899,0.019179089700432802,0.009682394607563122,33173,2178,IMG_4597.JPG
0.8830546875,0.2617405778147664,0.14972880145546053,0.190488551434721,0.10527070806087195,58813,33644,DSC04211.JPG
0.9351125,0.08329207239918579,0.05739413927745555,0.06795942185115361,0.03517494540216533,26379,18177,DSC04236.JPG
0.9615421875,0.33594896691882126,0.31652571671719587,0.32594824044913046,0.19470619028922917,18801,17714,IMG_4609.JPG
0.790840625,0.2304861914999173,0.04614149506720519,0.07689018839820153,0.039982214189920894,120824,24188,IMG_4943.JPG
0.9756359375,0.0,0.0,0.0,0.0,1416,14177,DSC04063.JPG
0.832984375,0.583616220625773,0.1958408759768643,0.293270565833146,0.17183190256299005,113245,38001,IMG_4713.JPG
0.9504125,0.28505791755646154,0.17554696528912445,0.2172840724115819,0.12188373315624913,25093,15453,IMG_2453.JPG
0.928890625,0.7570761685280387,0.23633579900758148,0.3602215536874068,0.21967696581050034,54211,16923,IMG_2015.JPG
0.975428125,0.0,0.0,0.0,0.0,8732,6994,IMG_4750.JPG
0.95123125,0.0018592914771406754,0.046473029045643155,0.0035755331375303284,0.0017909684022003327,1205,30119,DSC03966.JPG
0.9435953125,0.13140031031807603,0.04754886479278521,0.0698291633384009,0.0361777113258931,28497,10312,IMG_2063.JPG
0.9522375,0.004318008636017272,0.0014937175995079518,0.0022196109152630887,0.0011110384942160643,22762,7874,IMG_4878.JPG
0.9304234375,0.03602371181030552,0.255968622100955,0.06315878058530222,0.032609167933956115,5864,41667,IMG_5017.JPG
0.9875046875,0.12406867508908326,0.22831594634873323,0.1607723790534159,0.08741298642017574,3355,6174,IMG_2299.JPG
0.9263328125,1.0,0.01190401341297286,0.02352794979599445,0.01190401341297286,47715,568,DSC04307.JPG
0.96630625,0.10638297872340426,0.026317247492935895,0.04219596695389536,0.021552702028222695,18049,4465,IMG_2101.JPG
0.9974609375,0.0,0.0,0.0,0.0,0,1625,DSC03983.JPG
0.9943171875,0.0,0.0,0.0,0.0,0,3637,DSC03969.JPG
0.956353125,0.09958795562599049,0.10267302790667276,0.10110696357317545,0.05324521267581766,15301,15775,DSC04028.JPG
0.80828125,0.4365704479450849,0.16969401542750612,0.24439298954343353,0.13920711644907152,116934,45452,DSC04030.JPG
0.7091328125,0.6652222017333579,0.07464192051644139,0.13422319373066996,0.07193957673804123,193323,21692,IMG_4727.JPG
0.982,0.31208590358693167,0.3319562575941677,0.32171455487517664,0.1916923940499579,8230,8754,IMG_4825.JPG
0.8639984375,0.10659145756403919,0.061120373457819274,0.07769171267205663,0.04041584442215044,59980,34393,DSC04320.JPG
0.954065625,0.3182952267986421,0.37936918051967045,0.3461589786931187,0.20930607853684777,20513,24449,DSC03937.JPG
0.9558046875,0.004429276793494046,0.12385786802030457,0.008552700760629535,0.004294716091104305,985,27544,IMG_4797.JPG
0.9704828125,0.07481559536354057,0.18999832747951162,0.10735717998393424,0.05672342337843911,5979,15184,DSC04161.JPG
0.9306578125,0.2522472195419227,0.14346369360522213,0.18290280411687812,0.10065658817330686,34622,19691,DSC04024.JPG
0.8237375,0.32898807661556645,0.09191115772708291,0.14368130199793527,0.07740120387333159,102969,28767,IMG_4922.JPG
0.9047046875,0.0,0.0,0.0,0.0,21786,39203,IMG_4980.JPG
0.89089375,0.4311267605633803,0.23568634697711663,0.3047651287361357,0.17977752457918786,64938,35500,DSC04013.JPG
0.8787171875,0.0,0.0,0.0,0.0,0,77621,IMG_4735.JPG
0.9902015625,0.0,0.0,0.0,0.0,291,5980,DSC03994.JPG
0.737184375,0.7071903943756541,0.18928561989586912,0.298638156632836,0.17552889045742406,189185,50637,DSC04045.JPG
0.9081515625,0.2679227777183028,0.1640160782943027,0.20347159175598584,0.11325821001342565,45776,28023,IMG_2158.JPG
0.9152640625,0.0,0.0,0.0,0.0,0,54231,IMG_4736.JPG
0.95595625,0.33323256751309954,0.13292869201704316,0.19004654904890522,0.10500079377678996,24878,9924,DSC04203.JPG
0.6817375,0.8051466370970826,0.09586658714585543,0.1713330241413821,0.09369285189881867,219649,26153,IMG_4753.JPG
0.96329375,0.2182521620391443,0.1790961155378486,0.19674485399712782,0.10910538890363684,16064,13182,IMG_4701.JPG
0.954975,0.0,0.0,0.0,0.0,6505,22311,DSC04131.JPG
0.871675,0.2619047619047619,0.07834409080792344,0.12060990234709612,0.0641750227894257,71888,21504,IMG_4778.JPG
0.9883578125,0.0,0.0,0.0,0.0,0,7451,DSC03954.JPG
0.938571875,0.9176470588235294,0.02139917695473251,0.0418230563002681,0.02135815991237678,40095,935,IMG_4925.JPG
0.8653078125,0.43979403981129905,0.1864125730031579,0.2618405391287966,0.15064241516572735,82017,34764,IMG_2390.JPG
0.7634984375,0.3554245850372865,0.20501059934476779,0.2600329502177941,0.14944705432803615,129725,74826,DSC04396.JPG
0.8374046875,0.008059418457648546,0.015769501054111033,0.010667123014175293,0.00536216092217698,35575,69608,DSC04299.JPG
0.703575,0.3754873892297205,0.07626025174577332,0.12677326999733032,0.06767641522879062,180579,36675,IMG_4932.JPG
0.9830109375,0.5301470588235294,0.065814696485623,0.117092976045473,0.06218733827841987,10955,1360,IMG_2398.JPG
0.7483328125,0.048587151777822135,0.03486766044955546,0.04059970336484337,0.02072047423620611,97741,70142,DSC04334.JPG
0.947134375,0.15971935617003716,0.04019108941738498,0.06422170594092266,0.03317616802400343,28887,7269,IMG_4902.JPG
0.8691546875,0.0,0.0,0.0,0.0,0,83741,IMG_4658.JPG
0.9772828125,0.0,0.0,0.0,0.0,0,14539,IMG_4640.JPG
0.8364625,0.0,0.0,0.0,0.0,103678,986,DSC04007.JPG
0.8184234375,0.0,0.0,0.0,0.0,0,116209,IMG_4733.JPG
0.8358875,0.051301593753704924,0.05819739850519723,0.05453236114861824,0.028030464274807747,52047,59043,IMG_4997.JPG
0.8365421875,0.24734698914116485,0.1502567370038604,0.18694770220802534,0.10311213991769547,80043,48624,IMG_4723.JPG
0.95989375,0.0,0.0,0.0,0.0,19809,5859,DSC04304.JPG
0.88493125,0.8979368552672711,0.07296535257061573,0.1349637042779618,0.07236518913199562,78736,6398,DSC04365.JPG
0.90356875,0.0,0.0,0.0,0.0,51857,9859,DSC04335.JPG
0.9948484375,0.0,0.0,0.0,0.0,0,3297,DSC04109.JPG
0.719103125,0.8705012504077416,0.08279042832619801,0.15120067233873788,0.08178317142185856,193404,18394,IMG_2165.JPG
0.984378125,0.0,0.0,0.0,0.0,0,9998,IMG_4632.JPG
0.9710296875,0.21906202723146748,0.04339486933589067,0.07243984191305217,0.03758110563197509,16684,3305,IMG_4598.JPG
0.9843109375,0.9756756756756757,0.06719404374127501,0.1257292120156726,0.06708166867973614,10745,740,IMG_4591.JPG
0.9092265625,0.06672623416408718,0.06758241758241758,0.0671515968977311,0.03474229887349217,30940,31337,DSC04177.JPG
0.9562328125,0.09180832790380856,0.1089401180770312,0.09964321301147505,0.05243395013700484,14228,16883,DSC04027.JPG
0.8991203125,0.27939613012970443,0.1838202965746033,0.22174809243120094,0.12470004473908976,50038,32921,DSC04215.JPG
0.750646875,0.3318037834157317,0.39280144391679955,0.3597352056168506,0.21931532448218846,114134,135116,DSC04341.JPG
0.8108484375,0.03210736869273455,0.014669811320754718,0.020138411105265288,0.010171625743043802,84800,38745,IMG_4912.JPG
0.82864375,0.02576714549214689,0.023536018787971614,0.024601099311596132,0.012453737471972337,58761,53673,DSC04090.JPG
0.947615625,0.08388704318936877,0.003105399089902841,0.005989089184060721,0.0030035388229696374,32524,1204,IMG_4928.JPG
0.9388828125,0.0,0.0,0.0,0.0,28805,10310,IMG_5051.JPG
0.9223640625,0.6995530012771393,0.04301391915503465,0.08104459117054134,0.042233702147345696,50937,3132,IMG_4953.JPG
0.850865625,0.08119069283764462,0.20143188854489164,0.11573310604235763,0.061420760728474216,31008,76930,DSC04413.JPG
0.7914265625,0.07459872744887538,0.028209596609699586,0.04093831950281998,0.020896901772092476,100994,38191,DSC04313.JPG
