pixel_accuracy,pixel_precision,pixel_recall,pixel_f1,pixel_iou,gt_pixels,pred_pixels,bbox_precision,bbox_recall,bbox_f1,gt_boxes,pred_boxes,matched_boxes,false_positives,false_negatives,filename
0.9539203125,0.0,0.0,0.0,0.0,2456,27035,0.0,0.0,0.0,3,21,0,21,3,DSC04167.JPG
0.940178125,0.48581059040991625,0.2366274759029764,0.3182449517432957,0.1892338316886197,37764,18394,0.6363636363636364,0.2692307692307692,0.37837837833659604,52,22,14,8,38,IMG_2165.JPG
0.945315625,0.16487240125657407,0.29177337747517024,0.21069012178619756,0.11774937608712092,16009,28331,0.06666666666666667,0.3333333333333333,0.11111111108333332,9,45,3,42,6,DSC04198.JPG
0.9423734375,0.024236667119012078,0.49012074643249176,0.04618925698916389,0.023640599354053052,1822,36845,0.0,0.0,0.0,5,21,0,21,5,IMG_2159.JPG
0.9170390625,0.05812751292360712,0.43765316419201383,0.10262477394493552,0.05408775899235716,6937,52230,0.09259259259259259,0.21739130434782608,0.1298701298282341,23,54,5,49,18,DSC04359.JPG
0.86103125,0.19654802634938467,0.3718840579710145,0.2571743560618715,0.14756172366201503,41400,78332,0.047619047619047616,0.05555555555555555,0.051282051232347144,18,21,1,20,17,IMG_4919.JPG
0.9922390625,0.7311659893716786,0.5902839116719243,0.6532151085666411,0.4850181441161223,7925,6398,0.631578947368421,0.6,0.6153846153346483,20,19,12,7,8,DSC04365.JPG
0.861221875,0.057053042877917653,0.1362376793293346,0.08042573457851035,0.04189769368514164,28509,68077,0.06060606060606061,0.06896551724137931,0.06451612898246618,29,33,2,31,27,IMG_4931.JPG
0.9975984375,0.01838235294117647,0.11013215859030837,0.0315059861373661,0.016005121638924456,227,1360,0.0,0.0,0.0,1,7,0,7,1,IMG_2398.JPG
0.990440625,0.46096256684491976,0.07129859387923904,0.12349570200573066,0.06581157428615056,6045,935,0.0,0.0,0.0,8,1,0,1,8,IMG_4925.JPG
0.996846875,0.14425116673737803,0.9970674486803519,0.2520385470719051,0.1441899915182358,341,2357,0.16666666666666666,1.0,0.2857142856897959,1,6,1,5,0,IMG_2401.JPG
0.9326640625,0.21457947568463112,0.7972914252607184,0.3381505997266291,0.20347848587904777,13808,51305,0.06896551724137931,0.21052631578947367,0.10389610385893067,19,58,4,54,15,IMG_4716.JPG
