region_precision,region_recall,region_f1,region_iou,gt_regions,pred_regions,matched_gt_regions,matched_pred_regions,gt_pixels,pred_pixels,matched_gt_pixels,matched_pred_pixels,gt_coverage,pred_coverage,filename
0.6506024096385542,0.8076923076923077,0.720686367920075,0.03740939230532529,26,83,21,54,153762,12075,135979,11191,0.8843472379391527,0.9267908902691512,IMG_4993_JPG.rf.ab77786e38be8551a65833a5fdcf80a7.jpg
0.7,1.0,0.8235294117162629,0.0605159080433107,5,10,5,7,25270,2083,25270,1989,1.0,0.9548727796447432,DSC04131_JPG.rf.ddc4771910fbabfde959748c937d7824.jpg
0.5061728395061729,0.4,0.4468664849643104,0.006714727499223717,15,81,6,41,108842,4832,100487,3154,0.9232373532276144,0.6527317880794702,DSC04041_JPG.rf.f7a77445ea1de90b92488396179c3279.jpg
0.14285714285714285,1.0,0.249999999978125,0.2645252640957108,2,14,2,2,2052,3235,2052,595,1.0,0.1839258114374034,IMG_2508_JPG.rf.e0425583ab898225d34f5ba3d41be214.jpg
0.6666666666666666,0.75,0.7058823528913496,0.04606987814104795,4,9,3,6,42216,3261,37995,3142,0.9000142126208073,0.963508126341613,IMG_2148_JPG.rf.e07aa955c63a42222a151acada849995.jpg
0.45454545454545453,0.5405405405405406,0.49382716044420055,0.2049267024721807,37,44,20,20,12502,3052,7218,2023,0.5773476243800992,0.6628440366972477,DSC04192_JPG.rf.62edfe2a4361a60b2a2dd39490444861.jpg
0.8260869565217391,0.8,0.8128342245489435,0.004052784194313303,5,46,4,38,75234,3594,74814,3400,0.9944174176569104,0.9460211463550362,DSC04219_JPG.rf.7ce79630fadc829153c6fb39bd9f3790.jpg
0.5185185185185185,0.625,0.5668016193836318,0.06749897678382667,24,54,15,28,44733,4248,25929,3264,0.5796391925424184,0.768361581920904,DSC04230_JPG.rf.859130df9e75e660fc0c9d5f4e49a237.jpg
0.9130434782608695,0.7777777777777778,0.8399999999503199,0.03439118977261226,9,23,7,21,22379,1932,15464,1897,0.6910049600071495,0.9818840579710145,IMG_2471_JPG.rf.4770adafda877963a7d2382ce2496749.jpg
0.4235294117647059,0.8958333333333334,0.5751439717193649,0.15681148727409852,96,170,86,72,165936,76270,99855,66984,0.6017681515765114,0.8782483283073292,DSC04345_JPG.rf.94166d94a1356594a27281104ab8ead7.jpg
0.47619047619047616,0.6,0.5309734512780954,0.04022536535582266,10,21,6,10,71411,1173,70369,980,0.9854084104689753,0.835464620630861,DSC04318_JPG.rf.48437ba6963e0c2c5592f479c4906ef1.jpg
