filename,image_id,num_gt_boxes,image_width,image_height,tp_iou30,fp_iou30,fn_iou30,detected_boxes_iou30,precision_iou30,recall_iou30,tp_iou50,fp_iou50,fn_iou50,detected_boxes_iou50,precision_iou50,recall_iou50,tp_iou75,fp_iou75,fn_iou75,detected_boxes_iou75,precision_iou75,recall_iou75,avg_iou,pred_regions
IMG_4993_JPG.rf.ab77786e38be8551a65833a5fdcf80a7.jpg,0,26,3456,2592,0,391,26,0,0.0,0.0,0,391,26,0,0.0,0.0,0,391,26,0,0.0,0.0,0.018600380865648407,391
DSC04131_JPG.rf.ddc4771910fbabfde959748c937d7824.jpg,1,5,4000,3000,0,126,5,0,0.0,0.0,0,126,5,0,0.0,0.0,0,126,5,0,0.0,0.0,0.027206373563934776,126
DSC04041_JPG.rf.f7a77445ea1de90b92488396179c3279.jpg,2,15,4000,3000,0,657,15,0,0.0,0.0,0,657,15,0,0.0,0.0,0,657,15,0,0.0,0.0,0.014400480848899059,657
IMG_2508_JPG.rf.e0425583ab898225d34f5ba3d41be214.jpg,3,2,3456,2592,0,65,2,0,0.0,0.0,0,65,2,0,0.0,0.0,0,65,2,0,0.0,0.0,0.03910432991951299,65
IMG_2148_JPG.rf.e07aa955c63a42222a151acada849995.jpg,4,4,3456,2592,0,126,4,0,0.0,0.0,0,126,4,0,0.0,0.0,0,126,4,0,0.0,0.0,0.04303087853522684,126
DSC04192_JPG.rf.62edfe2a4361a60b2a2dd39490444861.jpg,5,37,4000,3000,0,512,37,0,0.0,0.0,0,512,37,0,0.0,0.0,0,512,37,0,0.0,0.0,0.005265929987354331,512
DSC04219_JPG.rf.7ce79630fadc829153c6fb39bd9f3790.jpg,6,5,4000,3000,0,717,5,0,0.0,0.0,0,717,5,0,0.0,0.0,0,717,5,0,0.0,0.0,0.018109056377463895,717
DSC04230_JPG.rf.859130df9e75e660fc0c9d5f4e49a237.jpg,7,24,4000,3000,0,603,24,0,0.0,0.0,0,603,24,0,0.0,0.0,0,603,24,0,0.0,0.0,0.014812546902266745,603
IMG_2471_JPG.rf.4770adafda877963a7d2382ce2496749.jpg,8,9,3456,2592,0,158,9,0,0.0,0.0,0,158,9,0,0.0,0.0,0,158,9,0,0.0,0.0,0.020630135587905076,158
DSC04345_JPG.rf.94166d94a1356594a27281104ab8ead7.jpg,9,96,4000,3000,0,958,96,0,0.0,0.0,0,958,96,0,0.0,0.0,0,958,96,0,0.0,0.0,0.005395147854239832,958
DSC04318_JPG.rf.48437ba6963e0c2c5592f479c4906ef1.jpg,10,10,4000,3000,0,502,10,0,0.0,0.0,0,502,10,0,0.0,0.0,0,502,10,0,0.0,0.0,0.017026021675745108,502
DSC04040_JPG.rf.3f89a2b05b11fda2b8d3a93719398639.jpg,11,8,4000,3000,0,384,8,0,0.0,0.0,0,384,8,0,0.0,0.0,0,384,8,0,0.0,0.0,0.03111749679396625,384
IMG_2443_JPG.rf.10297ba9b4c476e4cda656c928a8d980.jpg,12,19,3456,2592,0,168,19,0,0.0,0.0,0,168,19,0,0.0,0.0,0,168,19,0,0.0,0.0,0.026017236945077377,168
IMG_2541_JPG.rf.f935efe139eb2624c35d47778d4b31ef.jpg,13,6,3456,2592,0,56,6,0,0.0,0.0,0,56,6,0,0.0,0.0,0,56,6,0,0.0,0.0,0.06996938034111,56
IMG_4833_JPG.rf.24b6a624797ecb4f794e722416133953.jpg,14,16,3456,2592,0,195,16,0,0.0,0.0,0,195,16,0,0.0,0.0,0,195,16,0,0.0,0.0,0.024523860900908596,195
IMG_2136_JPG.rf.13bc9784cb25edb014c0376130e1dbb0.jpg,15,13,3456,2592,0,423,13,0,0.0,0.0,0,423,13,0,0.0,0.0,0,423,13,0,0.0,0.0,0.0035315328464094737,423
IMG_2314_JPG.rf.5d9cb24407f773f55e7ad88f9252ce00.jpg,16,3,3456,2592,0,125,3,0,0.0,0.0,0,125,3,0,0.0,0.0,0,125,3,0,0.0,0.0,0.13701997325996695,125
IMG_2055_JPG.rf.60ddfecd346ba83201fc0604f47db0d1.jpg,17,7,3456,2592,0,1264,7,0,0.0,0.0,0,1264,7,0,0.0,0.0,0,1264,7,0,0.0,0.0,0.03690671910552485,1264
IMG_4934_JPG.rf.dcf183e085a292ba23f567d6441a0729.jpg,18,7,3456,2592,0,127,7,0,0.0,0.0,0,127,7,0,0.0,0.0,0,127,7,0,0.0,0.0,0.05939578274692826,127
DSC04184_JPG.rf.e517af78439ae77b210a707543505397.jpg,19,2,4000,3000,0,304,2,0,0.0,0.0,0,304,2,0,0.0,0.0,0,304,2,0,0.0,0.0,0.012150302382339564,304
DSC04309_JPG.rf.c9d896b0cdc17486d669e4fd5bce31e2.jpg,20,1,4000,3000,0,22,1,0,0.0,0.0,0,22,1,0,0.0,0.0,0,22,1,0,0.0,0.0,0.053569908473381056,22
DSC04158_JPG.rf.06bbd2945313c845c1129379a13d7023.jpg,21,18,4000,3000,0,181,18,0,0.0,0.0,0,181,18,0,0.0,0.0,0,181,18,0,0.0,0.0,0.023013450181604465,181
IMG_4931_JPG.rf.2388f225a3cefdf458dfed333a34945f.jpg,22,3,3456,2592,0,138,3,0,0.0,0.0,0,138,3,0,0.0,0.0,0,138,3,0,0.0,0.0,0.11344353768432791,138
IMG_4596_JPG.rf.aebb165d2276a24db44b1216007d395e.jpg,23,4,3456,2592,0,183,4,0,0.0,0.0,0,183,4,0,0.0,0.0,0,183,4,0,0.0,0.0,0.04064222773282049,183
DSC04024_JPG.rf.9ac025dcd003e00237ef4f0004ad37db.jpg,24,4,4000,3000,0,490,4,0,0.0,0.0,0,490,4,0,0.0,0.0,0,490,4,0,0.0,0.0,0.024799516118934144,490
DSC04321_JPG.rf.334b8c0bdd79035c2810f17c1415d3b9.jpg,25,11,4000,3000,0,651,11,0,0.0,0.0,0,651,11,0,0.0,0.0,0,651,11,0,0.0,0.0,0.02061366437947218,651
DSC04007_JPG.rf.9cbe44b54d9242dba9a272b55a094fb4.jpg,26,2,4000,3000,0,178,2,0,0.0,0.0,0,178,2,0,0.0,0.0,0,178,2,0,0.0,0.0,0.03724735871681555,178
DSC04362_JPG.rf.f911d1c2b6e3c1863141e6d593869b06.jpg,27,22,4000,3000,0,1757,22,0,0.0,0.0,0,1757,22,0,0.0,0.0,0,1757,22,0,0.0,0.0,0.0178049210805951,1757
DSC04076_JPG.rf.5608e56fc94f040a6d88d9b3084a23b9.jpg,28,10,4000,3000,0,348,10,0,0.0,0.0,0,348,10,0,0.0,0.0,0,348,10,0,0.0,0.0,0.037681707319925394,348
IMG_2146_JPG.rf.da96063a1cefb965ed34cf0ded719fd5.jpg,29,5,3456,2592,0,63,5,0,0.0,0.0,0,63,5,0,0.0,0.0,0,63,5,0,0.0,0.0,0.03206003945352552,63
DSC04338_JPG.rf.39faaaf5f840dc026d3474fb54efba58.jpg,30,5,4000,3000,0,708,5,0,0.0,0.0,0,708,5,0,0.0,0.0,0,708,5,0,0.0,0.0,0.022074996296903907,708
IMG_4756_JPG.rf.1da3926f0d0618eea8b29e296e1966bb.jpg,31,11,3456,2592,0,233,11,0,0.0,0.0,0,233,11,0,0.0,0.0,0,233,11,0,0.0,0.0,0.0481673099596372,233
IMG_2394_JPG.rf.b8850145578c950114d8bef195a4ba74.jpg,32,42,3456,2592,0,208,42,0,0.0,0.0,0,208,42,0,0.0,0.0,0,208,42,0,0.0,0.0,0.01889690052596646,208
DSC04327_JPG.rf.02a40032e6c1b9a575c03a4a55403dbb.jpg,33,24,4000,3000,0,817,24,0,0.0,0.0,0,817,24,0,0.0,0.0,0,817,24,0,0.0,0.0,0.014543648351814967,817
IMG_1703_jpg.rf.55e9ba0f66c82b03ee2971318dc7b3b9.jpg,34,6,3456,2592,0,66,6,0,0.0,0.0,0,66,6,0,0.0,0.0,0,66,6,0,0.0,0.0,0.02214122430405953,66
IMG_1762_jpg.rf.9cd3a29cdcd76af2f35c6297a4a61811.jpg,35,10,3456,2592,0,770,10,0,0.0,0.0,0,770,10,0,0.0,0.0,0,770,10,0,0.0,0.0,0.03296362441298887,770
IMG_2145_JPG.rf.067fa8698f2f9931926ad50622aa9b48.jpg,36,4,3456,2592,0,241,4,0,0.0,0.0,0,241,4,0,0.0,0.0,0,241,4,0,0.0,0.0,0.012842924830682233,241
DSC04211_JPG.rf.967767fe5c8a5713109a655a56b99009.jpg,37,27,4000,3000,0,576,27,0,0.0,0.0,0,576,27,0,0.0,0.0,0,576,27,0,0.0,0.0,0.017528283106544636,576
IMG_4709_JPG.rf.637e956c778a630c108a37c2234c31bc.jpg,38,2,3456,2592,0,226,2,0,0.0,0.0,0,226,2,0,0.0,0.0,0,226,2,0,0.0,0.0,0.04644698106357434,226
IMG_5025_JPG.rf.d01c200c03edec8630d726e35f71c691.jpg,39,19,3456,2592,0,582,19,0,0.0,0.0,0,582,19,0,0.0,0.0,0,582,19,0,0.0,0.0,0.030340470691183185,582
IMG_2114_JPG.rf.06dfd5d9b730c2ed8628d2c6769c34fe.jpg,40,6,3456,2592,0,118,6,0,0.0,0.0,0,118,6,0,0.0,0.0,0,118,6,0,0.0,0.0,0.06390410294014,118
IMG_2165_JPG.rf.dc63319cd94573929d66fcddc33bcab9.jpg,41,12,3456,2592,0,219,12,0,0.0,0.0,0,219,12,0,0.0,0.0,0,219,12,0,0.0,0.0,0.032604506489247474,219
IMG_4860_JPG.rf.a48861eed0a72a00146c1404e0f0cc89.jpg,42,2,3456,2592,0,49,2,0,0.0,0.0,0,49,2,0,0.0,0.0,0,49,2,0,0.0,0.0,0.01629254533119655,49
IMG_2390_JPG.rf.e71e5a496373869e0bd827ab5b3724ba.jpg,43,13,3456,2592,0,188,13,0,0.0,0.0,0,188,13,0,0.0,0.0,0,188,13,0,0.0,0.0,0.010241147606539278,188
IMG_4606_JPG.rf.a7fa290bed48312e54d03e0a35468d8a.jpg,44,4,3456,2592,0,106,4,0,0.0,0.0,0,106,4,0,0.0,0.0,0,106,4,0,0.0,0.0,0.04286583183388296,106
IMG_2119_JPG.rf.73eb86d68e8911735b40e25cde406ad2.jpg,45,4,3456,2592,0,97,4,0,0.0,0.0,0,97,4,0,0.0,0.0,0,97,4,0,0.0,0.0,0.04407304886295158,97
DSC04323_JPG.rf.8bb1530d2ce6a64d63af4b8e5d0d3183.jpg,46,33,4000,3000,0,599,33,0,0.0,0.0,0,599,33,0,0.0,0.0,0,599,33,0,0.0,0.0,0.015468751359071291,599
IMG_4713_JPG.rf.1324ce97f548311181a530b47d0d7f54.jpg,47,9,3456,2592,0,239,9,0,0.0,0.0,0,239,9,0,0.0,0.0,0,239,9,0,0.0,0.0,0.03300756868838964,239
DSC04441_JPG.rf.11b244119718fde55b1c4ab7bdf40d81.jpg,48,45,4000,3000,0,612,45,0,0.0,0.0,0,612,45,0,0.0,0.0,0,612,45,0,0.0,0.0,0.001913810369810183,612
DSC04397_JPG.rf.804d11da546b356933056422d013c7c0.jpg,49,40,4000,3000,0,1979,40,0,0.0,0.0,0,1979,40,0,0.0,0.0,0,1979,40,0,0.0,0.0,0.010106481256672538,1979
DSC04399_JPG.rf.0d0e5c42999f9cc09d1192124955ebee.jpg,50,43,4000,3000,0,1986,43,0,0.0,0.0,0,1986,43,0,0.0,0.0,0,1986,43,0,0.0,0.0,0.007847759641424675,1986
DSC04368_JPG.rf.5952ddb83c9fdf19b96759fb9429ac6e.jpg,51,19,4000,3000,0,637,19,0,0.0,0.0,0,637,19,0,0.0,0.0,0,637,19,0,0.0,0.0,0.01986465854198142,637
IMG_4991_JPG.rf.3a791a582bae0bbc903b0902f393b2a2.jpg,52,36,3456,2592,0,385,36,0,0.0,0.0,0,385,36,0,0.0,0.0,0,385,36,0,0.0,0.0,0.015502100588287524,385
IMG_4714_JPG.rf.2464917297d978cc1e737374ffd9e57f.jpg,53,10,3456,2592,0,232,10,0,0.0,0.0,0,232,10,0,0.0,0.0,0,232,10,0,0.0,0.0,0.029176345006856723,232
DSC04276_JPG.rf.6704d67b41571bc87972fbdace7af6be.jpg,54,9,4000,3000,0,249,9,0,0.0,0.0,0,249,9,0,0.0,0.0,0,249,9,0,0.0,0.0,0.020883272772222426,249
DSC04310_JPG.rf.8fd4c5666cc18204739f32f00eba4b3b.jpg,55,7,4000,3000,0,270,7,0,0.0,0.0,0,270,7,0,0.0,0.0,0,270,7,0,0.0,0.0,0.051730978000455945,270
IMG_4974_JPG.rf.39c816c26265036bb12c434de9902d25.jpg,56,1,3456,2592,0,11,1,0,0.0,0.0,0,11,1,0,0.0,0.0,0,11,1,0,0.0,0.0,0.05387180869550436,11
DSC04011_JPG.rf.a719c404743d0503847d4a1466d4e91e.jpg,58,12,4000,3000,0,306,12,0,0.0,0.0,0,306,12,0,0.0,0.0,0,306,12,0,0.0,0.0,0.04246980037104841,306
DSC04298_JPG.rf.526e7a016c17dbd4a45a7c85acb1e258.jpg,59,2,4000,3000,0,180,2,0,0.0,0.0,0,180,2,0,0.0,0.0,0,180,2,0,0.0,0.0,0.02693178728971215,180
DSC04299_JPG.rf.c90f88ce61e0a227eb07cbd298e21106.jpg,60,2,4000,3000,0,168,2,0,0.0,0.0,0,168,2,0,0.0,0.0,0,168,2,0,0.0,0.0,0.02624043072279142,168
IMG_5056_JPG.rf.7c2bfeb8c2e32a72eaab086a371064e0.jpg,61,22,3456,2592,0,727,22,0,0.0,0.0,0,727,22,0,0.0,0.0,0,727,22,0,0.0,0.0,0.021120987916304356,727
DSC04003_JPG.rf.af2eb3c1c67284afd53f8016a4c06025.jpg,62,8,4000,3000,0,172,8,0,0.0,0.0,0,172,8,0,0.0,0.0,0,172,8,0,0.0,0.0,0.03466412294387226,172
DSC04038_JPG.rf.eb8530722b8f8de57a817d21940d0fae.jpg,63,9,4000,3000,0,358,9,0,0.0,0.0,0,358,9,0,0.0,0.0,0,358,9,0,0.0,0.0,0.02177866001411193,358
IMG_4704_JPG.rf.a77b12dcc883fa952f09cb3ad40f5d15.jpg,64,2,3456,2592,0,178,2,0,0.0,0.0,0,178,2,0,0.0,0.0,0,178,2,0,0.0,0.0,0.05829167350044864,178
IMG_5020_JPG.rf.7d5566c9d2b4eeecc6ae41bf2a09af48.jpg,65,8,3456,2592,0,379,8,0,0.0,0.0,0,379,8,0,0.0,0.0,0,379,8,0,0.0,0.0,0.04581092428324793,379
IMG_5012_JPG.rf.d0de89b9ea9ecff89caf79d73a1d647d.jpg,66,38,3456,2592,0,817,38,0,0.0,0.0,0,817,38,0,0.0,0.0,0,817,38,0,0.0,0.0,0.006844978410422237,817
IMG_5036_JPG.rf.5f4d679d95ae246f77e157e4236b9865.jpg,67,16,3456,2592,0,367,16,0,0.0,0.0,0,367,16,0,0.0,0.0,0,367,16,0,0.0,0.0,0.008843313175513304,367
IMG_2059_JPG.rf.3e8aafb9b9985f43c981dfe103d24732.jpg,68,1,3456,2592,0,362,1,0,0.0,0.0,0,362,1,0,0.0,0.0,0,362,1,0,0.0,0.0,0.01440762092110416,362
