filename,image_id,original_width,original_height,resized_width,resized_height,num_gt_boxes,gt_regions,pred_regions,matched_gt_regions,matched_pred_regions,precision,recall,f1_score,avg_iou,gt_pixels,pred_pixels,matched_pixels
DSC04007_JPG.rf.9cbe44b54d9242dba9a272b55a094fb4.jpg,26,4000,3000,800,800,2,1,74,1,9,0.12162162162162163,1.0,0.2168674698601829,0.0149762522223921,16452,21321,2487
DSC04362_JPG.rf.f911d1c2b6e3c1863141e6d593869b06.jpg,27,4000,3000,800,800,22,18,197,18,92,0.467005076142132,1.0,0.6366782006486417,0.017023608865188337,183937,76817,30535
DSC04076_JPG.rf.5608e56fc94f040a6d88d9b3084a23b9.jpg,28,4000,3000,800,800,10,6,102,6,52,0.5098039215686274,1.0,0.675324675279946,0.00831323571346167,238636,97588,40154
IMG_2146_JPG.rf.da96063a1cefb965ed34cf0ded719fd5.jpg,29,3456,2592,800,800,5,5,27,3,8,0.2962962962962963,0.6,0.39669421483177375,0.027348998301316346,20567,11226,1026
DSC04338_JPG.rf.39faaaf5f840dc026d3474fb54efba58.jpg,30,4000,3000,800,800,5,4,39,2,12,0.3076923076923077,0.5,0.38095238090521544,0.013764541815644404,47687,41784,5614
IMG_4756_JPG.rf.1da3926f0d0618eea8b29e296e1966bb.jpg,31,3456,2592,800,800,11,6,97,6,62,0.6391752577319587,1.0,0.7798742137889008,0.013355636276098676,286502,98052,64640
IMG_2394_JPG.rf.b8850145578c950114d8bef195a4ba74.jpg,32,3456,2592,800,800,42,26,119,26,100,0.8403361344537815,1.0,0.9132420090827964,0.03773496906801511,225009,41382,38212
DSC04327_JPG.rf.02a40032e6c1b9a575c03a4a55403dbb.jpg,33,4000,3000,800,800,24,18,144,18,69,0.4791666666666667,1.0,0.6478873238998611,0.024800634808442534,117733,34562,13617
IMG_1703_jpg.rf.55e9ba0f66c82b03ee2971318dc7b3b9.jpg,34,3456,2592,800,800,6,3,27,3,7,0.25925925925925924,1.0,0.41176470584965397,0.043953466219177846,34854,97578,9476
IMG_1762_jpg.rf.9cd3a29cdcd76af2f35c6297a4a61811.jpg,35,3456,2592,800,800,10,2,83,2,22,0.26506024096385544,1.0,0.4190476190144944,0.009988540222374302,151337,328755,77481
IMG_2145_JPG.rf.067fa8698f2f9931926ad50622aa9b48.jpg,36,3456,2592,800,800,4,4,25,3,6,0.24,0.75,0.3636363635996327,0.10102729982338061,18573,125943,2144
DSC04211_JPG.rf.967767fe5c8a5713109a655a56b99009.jpg,37,4000,3000,800,800,27,17,118,16,55,0.4661016949152542,0.9411764705882353,0.6234502302072037,0.051069057646607734,83203,19252,12486
IMG_4709_JPG.rf.637e956c778a630c108a37c2234c31bc.jpg,38,3456,2592,800,800,2,1,47,1,13,0.2765957446808511,1.0,0.4333333332993889,0.009448274341122505,41124,34229,5104
IMG_5025_JPG.rf.d01c200c03edec8630d726e35f71c691.jpg,39,3456,2592,800,800,19,9,146,7,83,0.5684931506849316,0.7777777777777778,0.6568682871190997,0.012573144031811301,239531,62936,41026
IMG_2114_JPG.rf.06dfd5d9b730c2ed8628d2c6769c34fe.jpg,40,3456,2592,800,800,6,6,51,6,20,0.39215686274509803,1.0,0.5633802816496727,0.046881636461629704,115324,43838,20118
IMG_2165_JPG.rf.dc63319cd94573929d66fcddc33bcab9.jpg,41,3456,2592,800,800,12,12,60,11,31,0.5166666666666667,0.9166666666666666,0.6608527131321886,0.02904535882193252,166755,80484,35364
IMG_4860_JPG.rf.a48861eed0a72a00146c1404e0f0cc89.jpg,42,3456,2592,800,800,2,2,19,2,2,0.10526315789473684,1.0,0.19047619045895692,0.2738785802213329,4937,67575,1413
IMG_2390_JPG.rf.e71e5a496373869e0bd827ab5b3724ba.jpg,43,3456,2592,800,800,13,11,96,11,27,0.28125,1.0,0.4390243902096371,0.0734840326877587,54746,116215,16139
IMG_4606_JPG.rf.a7fa290bed48312e54d03e0a35468d8a.jpg,44,3456,2592,800,800,4,3,38,2,10,0.2631578947368421,0.6666666666666666,0.3773584905254539,0.02252404287233735,20798,4953,1871
IMG_2119_JPG.rf.73eb86d68e8911735b40e25cde406ad2.jpg,45,3456,2592,800,800,4,3,49,3,16,0.32653061224489793,1.0,0.49230769227057986,0.010950170903335658,134184,21661,5946
DSC04323_JPG.rf.8bb1530d2ce6a64d63af4b8e5d0d3183.jpg,46,4000,3000,800,800,33,24,115,23,72,0.6260869565217392,0.9583333333333334,0.7573747998607283,0.03746485261346951,165108,28428,19258
IMG_4713_JPG.rf.1324ce97f548311181a530b47d0d7f54.jpg,47,3456,2592,800,800,9,9,91,8,57,0.6263736263736264,0.8888888888888888,0.7348912167121775,0.018725059926084527,140356,60325,25544
DSC04441_JPG.rf.11b244119718fde55b1c4ab7bdf40d81.jpg,48,4000,3000,800,800,45,43,94,43,28,0.2978723404255319,1.0,0.4590163934072561,0.0736771016810028,56766,376039,32404
DSC04397_JPG.rf.804d11da546b356933056422d013c7c0.jpg,49,4000,3000,800,800,40,31,260,21,150,0.5769230769230769,0.6774193548387096,0.6231454005437926,0.01608321236602883,215696,40930,25620
